2015,09,03, Luminosity, 16, Splyce, 06, inferno, 16, 11, 1.12 
2015,09,03, Splyce, 11, Luminosity, 16, cache, 24, 17, 1.28 
2015,09,01, 3sUP, 10, Luminosity, 16, mirage, 22, 20, 1.12 
2015,09,01, Luminosity, 16, 3sUP, 08, cobblestone, 11, 14, 0.72 
2015,08,22, Luminosity, 14, fnatic, 16, mirage, 27, 23, 1.25 
2015,08,22, fnatic, 16, Luminosity, 05, train, 13, 18, 0.83 
2015,08,21, Luminosity, 22, FlipSid3, 18, cobblestone, 29, 28, 0.97 
2015,08,20, EnVyUs, 19, Luminosity, 16, cobblestone, 28, 26, 1.09 
2015,08,20, Luminosity, 16, Kinguin, 06, overpass, 22, 13, 1.51 
2015,07,10, KeydStars, 16, Boreal, 03, mirage, 21, 12, 1.59 
2015,07,10, KeydStars, 06, Cloud9, 16, overpass, 11, 17, 0.71 
2015,07,10, KeydStars, 13, FlipSid3, 16, cobblestone, 27, 18, 1.41 
2015,07,03, fnatic, 19, KeydStars, 16, train, 23, 26, 0.83 
2015,07,03, fnatic, 16, KeydStars, 05, inferno, 12, 16, 0.84 
2015,07,02, KeydStars, 09, CLG, 16, cache, 17, 20, 0.82 
2015,07,02, TSM, 12, KeydStars, 16, inferno, 28, 15, 1.54 
2015,06,23, KeydStars, 16, eLevate, 13, mirage, 24, 19, 1.17 
2015,06,22, CLG, 12, KeydStars, 16, cobblestone, 30, 18, 1.56 
2015,06,21, KeydStars, 16, ACE, 03, inferno, 13, 06, 1.21 
2015,06,21, Method, 19, KeydStars, 16, cache, 29, 24, 1.28 
2015,06,12, Luminosity, 27, KeydStars, 31, mirage, 47, 46, 1.05 
2015,06,12, mouseSpaz, 08, KeydStars, 16, train, 28, 13, 1.80 
2015,06,11, KeydStars, 16, Cloud9, 06, overpass, 28, 08, 2.00 
2015,06,10, KeydStars, 16, affNity, 12, dust2, 30, 15, 1.65 
2015,06,03, Liquid, 19, KeydStars, 22, dust2, 25, 31, 0.84 
2015,06,03, KeydStars, 10, Luminosity, 16, inferno, 14, 20, 0.75 
2015,06,03, Luminosity, 16, KeydStars, 06, cobblestone, 11, 21, 0.59 
2015,06,02, KeydStars, 16, affNity, 13, dust2, 25, 18, 1.27 
2015,06,02, KeydStars, 16, affNity, 06, cache, 29, 14, 1.93 
2015,06,02, Nihilum, 16, KeydStars, 08, train, 16, 20, 0.81 
2015,06,01, KeydStars, 16, eLevate, 11, cache, 22, 20, 1.17 
2015,05,29, Method, 11, KeydStars, 16, inferno, 27, 15, 1.34 
2015,05,29, KeydStars, 16, mouseSpaz, 05, overpass, 16, 15, 0.98 
2015,05,25, Liquid, 16, KeydStars, 13, mirage, 24, 19, 1.23 
2015,05,22, CLG, 12, KeydStars, 16, cobblestone, 20, 20, 1.04 
2015,05,21, Cloud9, 16, KeydStars, 12, dust2, 25, 22, 1.19 
2015,05,20, KeydStars, 16, Nihilum, 08, inferno, 12, 13, 0.96 
2015,05,14, KeydStars, 16, affNity, 08, cache, 22, 11, 1.50 
2015,05,14, Luminosity, 15, KeydStars, 19, train, 32, 21, 1.35 
2015,05,13, KeydStars, 16, ACE, 11, inferno, 31, 18, 1.62 
2015,05,13, TempoStorm, 08, KeydStars, 16, overpass, 22, 15, 1.31 
2015,03,13, Virtus.pro, 16, KeydStars, 01, nuke, 04, 17, 0.20 
2015,03,13, KeydStars, 19, Virtus.pro, 17, overpass, 27, 26, 0.97 
2015,03,13, Virtus.pro, 16, KeydStars, 04, mirage, 17, 18, 1.08 
2015,03,12, CLG, 08, KeydStars, 16, dust2, 24, 11, 1.50 
2015,03,12, HellRaisers, 12, KeydStars, 16, inferno, 22, 21, 0.98 
2015,03,12, KeydStars, 09, NiP, 16, inferno, 13, 19, 0.72 
2015,02,15, KaBuM.TD, 16, dignitas, 03, inferno, 15, 11, 1.19 
2015,02,15, INSHOCK, 11, KaBuM.TD, 16, nuke, 29, 15, 1.52 
2015,02,15, mousesports, 16, KaBuM.TD, 10, dust2, 24, 20, 1.14 
2015,01,24, NiP, 16, KaBuM.TD, 03, inferno, 14, 17, 0.81 
2015,01,24, dignitas, 16, KaBuM.TD, 04, dust2, 14, 18, 0.90 
2015,01,24, Cloud9, 04, KaBuM.TD, 16, mirage, 16, 11, 1.24 
2014,10,31, HellRaisers, 16, KaBuM.TD, 05, mirage, 07, 20, 0.34 
2014,10,31, KaBuM.TD, 16, Platinium, 12, dust2, 22, 19, 1.09 
