2015,10,20, TSM, 16, PENTA, 01, cobblestone, 05, 09, 0.66 
2015,10,20, Virtus.pro, 11, TSM, 16, mirage, 25, 17, 1.48 
2015,10,19, TSM, 16, Titan, 05, inferno, 15, 14, 1.03 
2015,10,19, Titan, 12, TSM, 16, dust2, 18, 17, 0.92 
2015,10,18, TSM, 16, dignitas, 06, mirage, 21, 12, 1.51 
2015,10,18, TSM, 19, NatusVincere, 16, cache, 31, 27, 1.22 
2015,10,18, HellRaisers, 16, TSM, 08, cache, 06, 21, 0.31 
2015,10,18, HellRaisers, 06, TSM, 16, mirage, 20, 12, 1.37 
2015,10,17, PENTA, 03, TSM, 16, inferno, 09, 11, 0.86 
2015,10,15, NiP, 16, TSM, 09, inferno, 05, 20, 0.33 
2015,10,15, NiP, 16, TSM, 12, cache, 19, 23, 0.77 
2015,10,15, TSM, 16, NiP, 13, dust2, 23, 19, 1.18 
2015,10,15, TSM, 16, mousesports, 13, dust2, 12, 20, 0.68 
2015,10,15, Titan, 13, TSM, 16, cobblestone, 19, 17, 1.01 
2015,10,14, TSM, 13, NiP, 16, dust2, 14, 20, 0.72 
2015,10,14, Titan, 05, TSM, 16, overpass, 14, 14, 0.97 
2015,10,14, TSM, 16, ttc, 08, overpass, 16, 16, 0.93 
2015,10,14, TSM, 16, ttc, 07, cache, 15, 16, 0.97 
2015,10,13, TSM, 16, fnatic, 03, dust2, 11, 08, 1.05 
2015,10,13, 0G2, 19, TSM, 21, dust2, 40, 22, 1.59 
2015,10,13, Torpedo, 04, TSM, 16, overpass, 22, 11, 1.55 
2015,10,13, TSM, 19, Torpedo, 15, cache, 23, 23, 0.95 
2015,10,08, TSM, 16, dignitas, 03, dust2, 15, 13, 1.19 
2015,10,06, NiP, 10, TSM, 16, cobblestone, 13, 17, 0.79 
2015,10,06, TSM, 16, Titan, 05, overpass, 09, 12, 0.74 
2015,10,06, TSM, 16, HellRaisers, 05, overpass, 14, 10, 1.09 
2015,10,04, Virtus.pro, 12, TSM, 16, overpass, 17, 19, 0.85 
2015,10,04, TSM, 16, Virtus.pro, 12, train, 24, 21, 1.17 
2015,10,03, TSM, 16, Virtus.pro, 14, train, 23, 22, 1.13 
2015,10,03, Virtus.pro, 12, TSM, 16, inferno, 16, 20, 0.90 
2015,10,02, fnatic, 10, TSM, 16, dust2, 21, 18, 1.33 
2015,10,02, TSM, 16, fnatic, 14, inferno, 11, 24, 0.49 
2015,09,30, TSM, 16, Virtus.pro, 11, cache, 16, 17, 0.95 
2015,09,30, TSM, 16, 0G2, 05, dust2, 09, 08, 0.92 
2015,09,29, NiP, 12, TSM, 16, dust2, 24, 14, 1.31 
2015,09,29, TSM, 16, EnVyUs, 13, dust2, 12, 20, 0.60 
2015,09,29, TSM, 16, EnVyUs, 09, cache, 21, 13, 1.26 
2015,09,24, TSM, 16, Virtus.pro, 03, train, 17, 09, 1.39 
2015,09,24, TSM, 16, Virtus.pro, 11, overpass, 25, 20, 1.18 
2015,09,22, TSM, 16, NiP, 05, train, 19, 13, 1.29 
2015,09,22, NatusVincere, 16, TSM, 10, train, 12, 18, 0.70 
2015,09,20, TSM, 13, EnVyUs, 16, inferno, 20, 21, 1.16 
2015,09,20, TSM, 13, EnVyUs, 16, dust2, 20, 19, 0.98 
2015,09,20, dignitas, 14, TSM, 16, overpass, 19, 24, 0.89 
2015,09,20, TSM, 16, dignitas, 06, mirage, 17, 14, 1.13 
2015,09,19, 0G2, 08, TSM, 16, dust2, 15, 15, 1.07 
2015,09,19, CPHWolves, 05, TSM, 16, overpass, 17, 14, 1.17 
2015,09,17, fnatic, 16, TSM, 09, train, 15, 19, 0.81 
2015,09,16, Poland, 10, Denmark, 16, cache, 20, 14, 1.31 
2015,09,16, Titan, 17, TSM, 21, dust2, 28, 25, 1.18 
2015,09,16, fnatic, 16, TSM, 09, inferno, 14, 22, 0.68 
2015,09,16, TSM, 16, 0SK, 04, dust2, 10, 13, 0.79 
2015,09,15, TSM, 12, EnVyUs, 16, inferno, 15, 21, 0.69 
2015,09,15, TSM, 16, HellRaisers, 09, overpass, 15, 13, 1.08 
2015,09,12, Virtus.pro, 16, TSM, 14, mirage, 19, 20, 1.07 
2015,09,12, Virtus.pro, 16, TSM, 07, cobblestone, 08, 21, 0.44 
2015,09,12, TSM, 16, Virtus.pro, 03, dust2, 12, 10, 1.04 
2015,09,12, Virtus.pro, 16, TSM, 07, train, 11, 21, 0.57 
2015,09,12, TSM, 16, Virtus.pro, 13, overpass, 21, 20, 1.04 
2015,09,11, NiP, 10, TSM, 16, inferno, 10, 21, 0.52 
2015,09,11, TSM, 16, NiP, 08, mirage, 23, 14, 1.36 
2015,09,11, TSM, 07, NiP, 16, dust2, 10, 17, 0.68 
2015,09,10, fnatic, 17, TSM, 19, dust2, 19, 26, 0.73 
2015,09,10, NatusVincere, 10, TSM, 16, overpass, 16, 22, 0.71 
2015,09,05, fnatic, 16, TSM, 09, inferno, 12, 20, 0.63 
2015,09,05, TSM, 13, fnatic, 16, mirage, 23, 22, 1.40 
2015,09,05, TSM, 16, fnatic, 06, train, 12, 12, 0.98 
2015,09,05, TSM, 10, fnatic, 16, dust2, 10, 22, 0.54 
2015,09,05, fnatic, 16, TSM, 12, cobblestone, 14, 22, 0.68 
2015,09,04, TSM, 21, Kinguin, 18, mirage, 29, 26, 1.10 
2015,09,04, Kinguin, 15, TSM, 21, dust2, 25, 21, 1.08 
2015,09,04, TSM, 07, Kinguin, 16, train, 17, 20, 1.05 
2015,09,03, TSM, 16, NatusVincere, 10, dust2, 17, 22, 0.81 
2015,09,03, TSM, 16, mousesports, 07, overpass, 24, 10, 1.69 
2015,09,02, TSM, 16, NatusVincere, 11, overpass, 15, 17, 0.90 
2015,09,02, TSM, 16, NatusVincere, 09, dust2, 21, 11, 1.48 
2015,08,28, Virtus.pro, 16, TSM, 12, mirage, 20, 21, 0.97 
2015,08,28, TSM, 12, Virtus.pro, 16, cache, 21, 23, 0.94 
2015,08,28, Virtus.pro, 06, TSM, 16, overpass, 15, 15, 0.96 
2015,08,28, TSM, 14, Virtus.pro, 16, train, 19, 22, 0.94 
2015,08,28, Virtus.pro, 13, TSM, 16, inferno, 17, 24, 0.73 
2015,08,27, TSM, 12, NatusVincere, 16, overpass, 16, 20, 0.88 
2015,08,27, NatusVincere, 16, TSM, 04, dust2, 08, 18, 0.53 
2015,08,27, TSM, 16, NatusVincere, 12, mirage, 18, 21, 0.95 
2015,08,23, TSM, 09, EnVyUs, 16, inferno, 16, 16, 0.94 
2015,08,23, EnVyUs, 08, TSM, 16, dust2, 20, 14, 1.23 
2015,08,23, TSM, 12, EnVyUs, 16, cache, 16, 25, 0.65 
2015,08,22, Kinguin, 08, TSM, 16, overpass, 22, 19, 1.20 
2015,08,22, TSM, 16, Kinguin, 06, dust2, 26, 11, 1.90 
2015,08,20, NiP, 03, TSM, 16, cache, 17, 11, 1.34 
2015,08,20, TSM, 16, Renegades, 11, train, 21, 23, 0.96 
2015,08,13, TSM, 16, fnatic, 10, dust2, 16, 18, 0.82 
2015,08,13, TSM, 16, fnatic, 04, inferno, 14, 10, 1.21 
2015,08,10, PENTA, 05, TSM, 16, train, 17, 15, 1.13 
2015,08,10, TSM, 16, PENTA, 08, mirage, 22, 13, 1.31 
2015,08,08, EnVyUs, 16, TSM, 12, inferno, 16, 20, 0.90 
2015,08,08, TSM, 09, EnVyUs, 16, cobblestone, 15, 21, 0.79 
2015,08,08, TSM, 03, EnVyUs, 16, cache, 05, 17, 0.34 
2015,08,08, TSM, 16, Renegades, 04, dust2, 06, 07, 0.87 
2015,08,07, TSM, 16, 0SK, 06, overpass, 18, 08, 1.39 
2015,08,07, 0SK, 15, TSM, 19, cobblestone, 20, 25, 0.83 
2015,08,07, CLG, 07, TSM, 16, inferno, 20, 14, 1.35 
2015,08,06, mousesports, 08, TSM, 16, dust2, 14, 14, 0.92 
2015,08,06, CLG, 12, TSM, 16, train, 18, 20, 0.96 
2015,08,05, TSM, 16, Renegades, 06, mirage, 23, 08, 1.68 
2015,08,05, EnVyUs, 16, TSM, 11, cobblestone, 09, 22, 0.49 
2015,07,31, TSM, 14, HellRaisers, 16, mirage, 21, 18, 1.05 
2015,07,31, TSM, 10, HellRaisers, 16, dust2, 18, 20, 0.83 
2015,07,30, TSM, 08, E-frag.net, 16, overpass, 14, 20, 0.74 
2015,07,30, TSM, 12, E-frag.net, 16, mirage, 16, 21, 0.78 
2015,07,30, E-frag.net, 04, TSM, 16, inferno, 11, 14, 0.82 
2015,07,18, TSM, 16, Cloud9, 02, mirage, 13, 11, 1.02 
2015,07,18, TSM, 16, Cloud9, 14, cache, 24, 20, 1.10 
2015,07,18, TSM, 16, NatusVincere, 05, dust2, 08, 11, 0.69 
2015,07,18, TSM, 16, NatusVincere, 05, train, 16, 12, 1.12 
2015,07,18, NatusVincere, 16, TSM, 06, mirage, 08, 21, 0.37 
2015,07,16, TSM, 16, fnatic, 10, overpass, 14, 18, 0.72 
2015,07,16, TSM, 16, NiP, 13, mirage, 21, 16, 1.09 
2015,07,02, fnatic, 16, TSM, 14, overpass, 18, 22, 0.74 
2015,07,02, TSM, 12, KeydStars, 16, inferno, 16, 21, 0.76 
2015,06,30, TSM, 16, NiP, 05, cache, 18, 13, 1.19 
2015,06,30, TSM, 16, Titan, 03, mirage, 17, 09, 1.45 
2015,06,30, TSM, 12, FlipSid3, 16, overpass, 13, 20, 0.66 
2015,06,29, TSM, 03, fnatic, 16, cache, 06, 15, 0.47 
2015,06,29, TSM, 16, EnVyUs, 13, inferno, 12, 15, 0.84 
2015,06,29, TSM, 14, NatusVincere, 16, mirage, 14, 21, 0.75 
2015,06,29, NatusVincere, 06, TSM, 16, overpass, 16, 14, 1.09 
2015,06,24, TSM, 16, GPlay, 02, mirage, 17, 11, 1.30 
2015,06,24, TSM, 16, GPlay, 13, inferno, 28, 18, 1.44 
2015,06,24, Titan, 16, TSM, 14, dust2, 17, 23, 0.76 
2015,06,21, mousesports, 05, TSM, 16, overpass, 17, 11, 1.34 
2015,06,21, TSM, 14, mousesports, 16, cache, 19, 19, 0.96 
2015,06,16, EnVyUs, 16, TSM, 13, dust2, 20, 20, 1.02 
2015,06,16, HellRaisers, 07, TSM, 16, overpass, 16, 15, 0.87 
2015,06,16, TSM, 16, HellRaisers, 02, train, 21, 08, 1.91 
2015,06,15, TSM, 16, HellRaisers, 12, cobblestone, 18, 19, 0.91 
2015,06,10, TSM, 19, HellRaisers, 16, mirage, 34, 24, 1.40 
2015,06,10, Virtus.pro, 10, TSM, 16, overpass, 25, 16, 1.41 
2015,06,10, TSM, 16, NiP, 07, mirage, 12, 13, 0.89 
2015,06,09, NiP, 04, TSM, 16, cache, 12, 12, 0.94 
2015,06,09, PENTA, 02, TSM, 16, overpass, 14, 05, 1.46 
2015,06,09, TSM, 16, PENTA, 06, train, 15, 14, 0.97 
2015,06,08, TSM, 16, FlipSid3, 10, train, 21, 15, 1.20 
2015,06,08, Titan, 14, TSM, 16, mirage, 19, 21, 0.91 
2015,06,08, Titan, 16, TSM, 11, dust2, 33, 21, 1.70 
