2015,09,12, Conquest, 16, GamesAcademy, 14, inferno, 16, 24, 0.69 
2015,09,12, GamesAcademy, 01, Conquest, 16, cobblestone, 10, 14, 0.70 
2015,09,07, GamesAcademy, 03, 3sUP, 16, dust2, 09, 18, 0.50 
2015,09,07, GamesAcademy, 05, 3sUP, 16, train, 07, 18, 0.42 
2015,09,07, 3sUP, 14, GamesAcademy, 16, inferno, 18, 20, 0.95 
2015,09,06, ACE, 10, GamesAcademy, 16, dust2, 20, 18, 1.07 
2015,09,06, ACE, 13, GamesAcademy, 16, cache, 18, 19, 0.90 
2015,09,06, GamesAcademy, 07, ACE, 16, cobblestone, 16, 19, 0.95 
2015,09,06, GamesAcademy, 08, CLG, 16, train, 11, 20, 0.54 
2015,09,06, CLG, 16, GamesAcademy, 06, dust2, 09, 20, 0.52 
2015,09,05, Method, 03, GamesAcademy, 16, mirage, 14, 09, 1.20 
2015,09,05, GamesAcademy, 16, Method, 07, cache, 16, 11, 1.11 
2015,09,05, GamesAcademy, 16, Levitate, 04, dust2, 20, 14, 1.34 
2015,09,05, GamesAcademy, 10, Luminosity, 16, mirage, 19, 18, 1.02 
2015,09,05, Levitate, 04, GamesAcademy, 16, cobblestone, 17, 14, 1.10 
2014,10,31, HellRaisers, 16, KaBuM.TD, 05, mirage, 15, 18, 0.93 
2014,10,31, KaBuM.TD, 16, Platinium, 12, dust2, 16, 17, 0.88 
2014,10,31, CPHWolves, 16, KaBuM.TD, 09, inferno, 12, 23, 0.58 
2014,10,31, KaBuM.TD, 07, NiP, 16, cache, 16, 20, 0.84 
2014,10,31, Titan, 16, KaBuM.TD, 09, dust2, 17, 18, 1.01 
2014,10,19, ProGaming.TD, 12, KaBuM.TD, 16, inferno, 22, 17, 1.14 
2014,10,19, KaBuM.TD, 16, ProGaming.TD, 10, mirage, 22, 16, 1.22 
2014,10,19, KaBuM.TD, 14, ProGaming.TD, 16, dust2, 17, 22, 0.72 
