2015,10,31, NiP, 16, TSM, 10, train, 18, 19, 0.91 
2015,10,30, NiP, 16, Titan, 01, dust2, 20, 08, 1.65 
2015,10,30, Titan, 14, NiP, 16, cache, 20, 21, 1.03 
2015,10,29, Liquid, 11, NiP, 16, mirage, 11, 19, 0.69 
2015,10,28, Titan, 16, NiP, 13, cobblestone, 19, 22, 0.82 
2015,10,24, NiP, 17, Titan, 19, dust2, 23, 22, 0.95 
2015,10,22, NiP, 11, NatusVincere, 16, overpass, 21, 20, 1.01 
2015,10,22, NiP, 06, NatusVincere, 16, inferno, 11, 19, 0.56 
2015,10,21, NiP, 16, 0G2, 10, cache, 14, 18, 0.83 
2015,10,21, NiP, 16, mousesports, 08, cobblestone, 23, 13, 1.54 
2015,10,20, EnVyUs, 14, NiP, 16, dust2, 26, 19, 1.16 
2015,10,18, NiP, 12, Virtus.pro, 16, inferno, 21, 20, 1.03 
2015,10,17, NiP, 16, PENTA, 04, train, 30, 07, 2.19 
2015,10,17, dignitas, 08, NiP, 16, dust2, 18, 12, 1.23 
2015,10,15, NiP, 16, TSM, 09, inferno, 19, 17, 1.06 
2015,10,15, NiP, 16, TSM, 12, cache, 19, 18, 0.98 
2015,10,15, TSM, 16, NiP, 13, dust2, 19, 17, 1.03 
2015,10,15, NiP, 16, HellRaisers, 04, inferno, 25, 10, 2.00 
2015,10,15, NiP, 16, HellRaisers, 13, overpass, 20, 19, 0.96 
2015,10,14, NiP, 10, EnVyUs, 16, mirage, 17, 22, 0.74 
2015,10,14, TSM, 13, NiP, 16, dust2, 23, 17, 1.14 
2015,10,13, GreyFace, 14, NiP, 16, dust2, 17, 17, 1.04 
2015,10,13, GreyFace, 12, NiP, 16, cache, 21, 16, 1.18 
2015,10,06, NiP, 02, HellRaisers, 16, cobblestone, 07, 16, 0.42 
2015,10,06, Titan, 16, NiP, 21, cobblestone, 38, 21, 1.62 
2015,10,06, NiP, 10, TSM, 16, cobblestone, 13, 19, 0.77 
2015,10,06, NiP, 14, fnatic, 16, cobblestone, 25, 19, 1.25 
2015,10,01, Belgium, 16, Finland, 14, inferno, 20, 23, 0.86 
2015,10,01, Belgium, 02, Finland, 16, dust2, 21, 11, 1.58 
2015,10,01, Finland, 13, Belgium, 16, cobblestone, 24, 21, 1.22 
2015,10,01, NiP, 11, HellRaisers, 16, cache, 14, 20, 0.75 
2015,09,29, HellRaisers, 02, NiP, 16, dust2, 13, 09, 1.11 
