2015,08,25, E-frag.net, 16, FlipSid3, 13, cobblestone, 19, 22, 0.88 
2015,08,25, FlipSid3, 12, WorstPlayers, 16, overpass, 21, 22, 0.99 
2015,08,25, FlipSid3, 16, WorstPlayers, 13, train, 22, 20, 1.05 
2015,08,21, Luminosity, 22, FlipSid3, 18, cobblestone, 41, 26, 1.49 
2015,08,21, mousesports, 14, FlipSid3, 16, cobblestone, 21, 22, 0.94 
2015,08,20, EnVyUs, 16, FlipSid3, 03, inferno, 06, 19, 0.26 
2015,08,13, E-frag.net, 16, FlipSid3, 09, cobblestone, 08, 21, 0.40 
2015,08,13, FlipSid3, 08, E-frag.net, 16, cache, 13, 21, 0.77 
2015,08,12, FlipSid3, 16, HellRaisers, 02, train, 06, 08, 0.76 
2015,08,12, HellRaisers, 11, FlipSid3, 16, cobblestone, 16, 20, 0.77 
2015,08,12, FlipSid3, 13, HellRaisers, 16, overpass, 18, 23, 0.83 
2015,08,10, FlipSid3, 16, INFINITY, 03, cobblestone, 12, 09, 1.02 
2015,08,10, FlipSid3, 16, INFINITY, 14, cache, 20, 22, 0.97 
2015,07,25, dignitas, 16, FlipSid3, 19, mirage, 17, 25, 0.72 
2015,07,25, FlipSid3, 16, KILLERFISH, 14, mirage, 26, 21, 1.12 
2015,07,25, FlipSid3, 16, Property, 03, cobblestone, 13, 08, 1.17 
2015,07,25, FlipSid3, 19, PENTA, 17, overpass, 20, 25, 0.84 
2015,07,25, FlipSid3, 14, KILLERFISH, 16, mirage, 14, 25, 0.56 
2015,07,12, NatusVincere, 16, FlipSid3, 01, inferno, 06, 15, 0.46 
2015,07,12, FlipSid3, 09, NatusVincere, 16, mirage, 11, 21, 0.52 
2015,07,11, NiP, 12, FlipSid3, 16, overpass, 14, 18, 0.74 
2015,07,11, FlipSid3, 16, NiP, 10, mirage, 21, 16, 1.19 
2015,07,11, NiP, 16, FlipSid3, 01, inferno, 06, 16, 0.45 
2015,07,10, Cloud9, 16, FlipSid3, 10, cache, 12, 22, 0.53 
2015,07,10, FlipSid3, 16, Boreal, 04, cache, 16, 09, 1.26 
2015,07,10, KeydStars, 13, FlipSid3, 16, cobblestone, 11, 20, 0.65 
2015,07,03, HellRaisers, 16, FlipSid3, 14, inferno, 11, 24, 0.51 
2015,07,03, FlipSid3, 16, HellRaisers, 02, cobblestone, 16, 10, 1.40 
2015,07,03, HellRaisers, 16, FlipSid3, 08, overpass, 13, 23, 0.58 
2015,07,02, FlipSid3, 02, NiP, 16, cobblestone, 07, 17, 0.40 
2015,06,30, fnatic, 16, FlipSid3, 06, cobblestone, 07, 17, 0.56 
2015,06,30, TSM, 12, FlipSid3, 16, overpass, 12, 19, 0.70 
2015,06,30, FlipSid3, 12, EnVyUs, 16, inferno, 16, 17, 0.88 
2015,06,29, fnatic, 16, FlipSid3, 09, cobblestone, 10, 20, 0.54 
2015,06,25, Kinguin, 16, FlipSid3, 08, cache, 16, 18, 1.03 
2015,06,25, Kinguin, 16, FlipSid3, 04, inferno, 09, 16, 0.63 
2015,06,25, 0G2, 15, FlipSid3, 19, cobblestone, 17, 25, 0.67 
2015,06,25, 0G2, 03, FlipSid3, 16, cache, 16, 07, 1.43 
2015,06,25, Kinguin, 25, FlipSid3, 22, train, 22, 36, 0.69 
2015,06,25, Kinguin, 16, FlipSid3, 13, mirage, 13, 19, 0.72 
2015,06,25, FlipSid3, 16, Kinguin, 12, cache, 19, 17, 0.97 
2015,06,24, 0G2, 10, FlipSid3, 16, cobblestone, 10, 18, 0.59 
2015,06,24, 0G2, 11, FlipSid3, 16, mirage, 16, 21, 0.78 
2015,06,21, NatusVincere, 16, FlipSid3, 05, inferno, 08, 19, 0.40 
2015,06,21, NatusVincere, 16, FlipSid3, 04, cobblestone, 08, 18, 0.44 
2015,06,20, mousesports, 16, FlipSid3, 01, cache, 06, 16, 0.34 
2015,06,20, HellRaisers, 09, FlipSid3, 16, cache, 15, 18, 0.89 
2015,06,20, FlipSid3, 16, GPlay, 12, mirage, 16, 17, 0.88 
2015,06,20, EnVyUs, 14, FlipSid3, 16, inferno, 13, 22, 0.60 
2015,06,19, FlipSid3, 16, 0G2, 05, mirage, 15, 13, 1.05 
2015,06,19, NatusVincere, 16, FlipSid3, 13, cobblestone, 16, 23, 0.63 
2015,06,13, FlipSid3, 11, Titan, 16, cache, 12, 22, 0.61 
2015,06,13, LGB, 05, FlipSid3, 16, cache, 16, 10, 1.23 
2015,06,13, Titan, 19, FlipSid3, 16, cobblestone, 16, 25, 0.71 
2015,06,11, dignitas, 16, FlipSid3, 01, overpass, 08, 16, 0.51 
2015,06,11, FlipSid3, 16, x6tence, 14, cache, 29, 19, 1.49 
2015,06,11, FlipSid3, 16, x6tence, 05, mirage, 20, 09, 1.51 
2015,06,11, NatusVincere, 16, FlipSid3, 03, overpass, 09, 17, 0.57 
2015,06,10, EnVyUs, 16, FlipSid3, 02, cache, 07, 17, 0.37 
2015,06,10, EnVyUs, 16, FlipSid3, 04, dust2, 06, 18, 0.38 
2015,06,09, FlipSid3, 14, dignitas, 16, mirage, 26, 18, 1.35 
2015,06,09, FlipSid3, 10, dignitas, 16, inferno, 22, 21, 1.11 
2015,06,09, FlipSid3, 16, NiP, 01, train, 14, 06, 1.28 
2015,06,09, FlipSid3, 13, HellRaisers, 16, inferno, 18, 20, 0.93 
2015,06,09, HellRaisers, 16, FlipSid3, 10, cache, 11, 21, 0.56 
2015,06,08, TSM, 16, FlipSid3, 10, train, 17, 24, 0.74 
2015,06,08, fnatic, 16, FlipSid3, 06, dust2, 05, 21, 0.23 
2015,06,08, Virtus.pro, 16, FlipSid3, 10, cobblestone, 24, 19, 1.15 
2015,06,08, dignitas, 12, FlipSid3, 16, mirage, 16, 18, 0.81 
2015,06,08, dignitas, 14, FlipSid3, 16, cache, 19, 19, 0.96 
2015,06,03, FlipSid3, 05, Titan, 16, overpass, 07, 18, 0.40 
2015,06,03, HellRaisers, 16, FlipSid3, 07, train, 14, 20, 0.72 
2015,06,03, TSM, 16, FlipSid3, 12, inferno, 07, 22, 0.38 
2015,06,02, INSHOCK, 14, FlipSid3, 16, cache, 20, 22, 0.91 
2015,06,02, INSHOCK, 17, FlipSid3, 19, overpass, 18, 28, 0.63 
2015,06,02, 0G2, 09, FlipSid3, 16, cobblestone, 17, 16, 0.98 
2015,06,02, 0G2, 12, FlipSid3, 16, cache, 16, 16, 0.93 
2015,05,30, dignitas, 11, FlipSid3, 16, cache, 15, 14, 0.92 
2015,05,30, FlipSid3, 16, dignitas, 07, cobblestone, 13, 12, 0.96 
2015,05,30, dignitas, 04, FlipSid3, 16, inferno, 17, 10, 1.35 
2015,05,30, FlipSid3, 16, embrace, 11, mirage, 20, 17, 0.99 
2015,05,30, FlipSid3, 16, embrace, 09, cobblestone, 23, 14, 1.41 
2015,05,30, embrace, 16, FlipSid3, 07, cache, 09, 19, 0.54 
2015,05,28, dignitas, 16, FlipSid3, 06, dust2, 08, 19, 0.44 
2015,05,28, LGB, 11, FlipSid3, 16, mirage, 22, 15, 1.30 
2015,05,28, FlipSid3, 16, LGB, 08, cache, 22, 14, 1.30 
2015,05,28, FlipSid3, 01, NatusVincere, 16, inferno, 07, 16, 0.49 
2015,05,28, FlipSid3, 16, NatusVincere, 14, mirage, 25, 22, 1.26 
2015,05,28, FlipSid3, 12, NatusVincere, 16, cobblestone, 18, 18, 0.99 
2015,05,27, FlipSid3, 06, Titan, 16, inferno, 14, 18, 0.86 
2015,05,27, dignitas, 09, FlipSid3, 16, overpass, 22, 16, 1.26 
2015,05,27, FlipSid3, 16, dignitas, 14, cache, 18, 22, 0.95 
