2015,09,06, CLG, 16, GamesAcademy, 06, dust2, 23, 09, 1.59 
2015,09,05, Enemy, 03, CLG, 16, mirage, 17, 10, 1.38 
2015,09,05, CLG, 16, Enemy, 01, cache, 15, 13, 1.07 
2015,09,05, CLG, 16, ACE, 06, dust2, 16, 08, 1.26 
2015,09,05, CLG, 16, BitterSweetGG, 02, mirage, 17, 07, 1.55 
2015,09,02, CLG, 16, Coast, 10, mirage, 23, 17, 1.20 
2015,09,02, CLG, 14, Coast, 16, cache, 10, 22, 0.53 
2015,09,01, CLG, 16, Conquest, 13, mirage, 22, 16, 1.16 
2015,09,01, CLG, 09, compLexity, 16, cache, 18, 17, 1.03 
2015,09,01, compLexity, 07, CLG, 16, dust2, 17, 14, 1.06 
2015,08,28, Conquest, 16, CLG, 14, cobblestone, 16, 25, 0.72 
2015,08,27, CLG, 16, Liquid, 14, overpass, 21, 23, 0.93 
2015,08,27, CLG, 16, Liquid, 06, dust2, 07, 16, 0.49 
2015,08,27, Liquid, 16, CLG, 14, train, 23, 22, 1.07 
2015,08,21, NatusVincere, 16, CLG, 14, cobblestone, 15, 23, 0.67 
2015,08,21, CLG, 16, eBettle, 14, mirage, 21, 21, 0.96 
2015,08,20, NiP, 16, CLG, 13, dust2, 18, 19, 0.90 
2015,08,07, CLG, 07, TSM, 16, inferno, 13, 20, 0.65 
2015,08,06, CLG, 13, EnVyUs, 16, inferno, 18, 18, 0.91 
2015,08,06, CLG, 12, TSM, 16, train, 14, 20, 0.73 
2015,08,05, 0SK, 16, CLG, 12, overpass, 15, 18, 0.93 
2015,08,02, CLG, 16, Liquid, 14, mirage, 21, 20, 0.97 
2015,08,02, CLG, 16, Liquid, 09, cache, 16, 17, 0.91 
2015,08,02, Mythic, 14, CLG, 16, dust2, 20, 17, 1.05 
2015,08,01, eLevate, 11, CLG, 16, overpass, 17, 16, 0.92 
2015,07,11, EnVyUs, 16, CLG, 10, cache, 17, 22, 0.81 
2015,07,11, Bravado, 07, CLG, 16, dust2, 12, 15, 0.74 
2015,07,10, Renegades, 16, CLG, 13, cache, 20, 20, 0.93 
2015,07,04, Cloud9, 16, CLG, 08, dust2, 19, 17, 1.14 
2015,07,04, CLG, 05, Cloud9, 16, cache, 15, 17, 0.86 
2015,07,02, KeydStars, 09, CLG, 16, cache, 18, 13, 1.18 
2015,07,02, fnatic, 12, CLG, 16, mirage, 15, 18, 0.82 
2015,06,30, CLG, 16, Liquid, 10, mirage, 23, 17, 1.24 
2015,06,30, Liquid, 16, CLG, 11, cache, 21, 24, 0.93 
2015,06,25, CLG, 16, mouseSpaz, 02, mirage, 16, 04, 1.51 
2015,06,24, Luminosity, 16, CLG, 10, mirage, 15, 20, 0.78 
2015,06,23, CLG, 16, affNity, 11, mirage, 21, 14, 1.28 
2015,06,22, CLG, 12, KeydStars, 16, cobblestone, 23, 22, 1.09 
2015,06,20, CLG, 09, Cloud9, 16, inferno, 15, 20, 0.83 
2015,06,19, CLG, 19, Method, 15, overpass, 34, 25, 1.34 
2015,06,19, Nihilum, 10, CLG, 16, train, 14, 14, 0.87 
2015,06,18, CLG, 11, Nihilum, 16, inferno, 16, 19, 0.84 
2015,06,18, TempoStorm, 16, CLG, 11, cobblestone, 17, 23, 0.78 
2015,06,17, CLG, 16, Luminosity, 11, mirage, 16, 19, 0.89 
2015,06,12, CLG, 16, ACE, 02, mirage, 15, 08, 1.34 
2015,06,12, Luminosity, 16, CLG, 13, inferno, 15, 22, 0.73 
2015,06,11, CLG, 16, mouseSpaz, 04, cache, 17, 13, 1.26 
2015,06,10, CLG, 14, TempoStorm, 16, inferno, 22, 22, 1.04 
2015,06,09, CLG, 10, eLevate, 21, dust2, 14, 24, 0.62 
2015,06,08, TempoStorm, 16, CLG, 07, cache, 09, 19, 0.52 
2015,06,04, CLG, 16, TempoStorm, 13, overpass, 17, 22, 0.81 
2015,06,04, CLG, 16, eLevate, 14, train, 17, 20, 0.94 
2015,06,04, CLG, 15, Method, 19, overpass, 16, 23, 0.69 
2015,06,04, Method, 06, CLG, 16, train, 17, 14, 1.02 
2015,06,03, CLG, 12, Cloud9, 16, train, 13, 19, 0.73 
2015,06,03, CLG, 10, Cloud9, 16, dust2, 14, 18, 0.75 
2015,06,01, CLG, 13, Cloud9, 16, cache, 22, 21, 0.89 
2015,05,31, Liquid, 16, CLG, 12, train, 24, 18, 1.26 
2015,05,31, Liquid, 10, CLG, 16, inferno, 16, 17, 0.98 
2015,05,22, CLG, 12, KeydStars, 16, cobblestone, 20, 18, 1.02 
2015,05,22, CLG, 16, eLevate, 14, dust2, 25, 20, 1.22 
2015,05,20, Method, 08, CLG, 16, inferno, 25, 11, 1.63 
2015,05,19, CLG, 16, eLevate, 05, mirage, 23, 10, 1.73 
2015,05,18, CLG, 14, affNity, 16, cache, 18, 20, 0.79 
2015,05,18, CLG, 14, affNity, 16, dust2, 24, 20, 1.13 
2015,05,14, CLG, 16, LunatiK, 09, inferno, 26, 15, 1.59 
2015,05,14, LunatiK, 16, CLG, 10, cache, 17, 20, 0.94 
2015,05,13, Luminosity, 16, CLG, 10, cache, 16, 20, 0.77 
2015,05,13, CLG, 09, Luminosity, 16, inferno, 13, 20, 0.71 
2015,05,12, Nihilum, 16, CLG, 14, cache, 28, 20, 1.42 
2015,05,12, mouseSpaz, 09, CLG, 16, train, 19, 15, 1.19 
2015,05,07, CLG, 16, Luminosity, 07, dust2, 22, 14, 1.37 
2015,05,07, Liquid, 10, CLG, 16, cache, 21, 16, 1.26 
2015,05,07, CLG, 16, Liquid, 01, mirage, 15, 07, 1.30 
2015,05,06, CLG, 16, SYNRGY, 09, inferno, 17, 11, 1.16 
2015,05,05, CLG, 16, ACE, 01, overpass, 15, 10, 1.24 
2015,05,05, ACE, 10, CLG, 16, inferno, 20, 11, 1.24 
2015,05,05, CLG, 16, ACE, 10, dust2, 18, 17, 0.95 
2015,05,04, CLG, 16, SKDC, 11, inferno, 17, 18, 0.80 
2015,05,04, CLG, 16, SKDC, 13, dust2, 28, 21, 1.24 
2015,04,19, CLG, 09, mousesports, 16, mirage, 10, 19, 0.58 
2015,04,19, CLG, 12, mousesports, 16, dust2, 24, 20, 1.16 
2015,04,18, CLG, 16, Luminosity, 08, dust2, 19, 19, 0.98 
2015,04,18, CLG, 16, Luminosity, 05, mirage, 14, 12, 1.02 
2015,04,17, fnatic, 16, CLG, 09, cache, 12, 21, 0.60 
2015,04,17, CLG, 06, fnatic, 16, mirage, 13, 18, 0.77 
2015,04,16, eLevate, 17, CLG, 19, nuke, 23, 24, 0.90 
2015,04,16, eLevate, 12, CLG, 16, dust2, 17, 17, 1.06 
2015,04,16, CLG, 14, eLevate, 16, cache, 15, 15, 0.88 
2015,04,15, CLG, 19, Nihilum, 16, inferno, 26, 27, 0.91 
2015,04,15, Nihilum, 13, CLG, 16, cache, 22, 24, 0.89 
2015,04,14, CLG, 22, eLevate, 20, dust2, 25, 31, 0.84 
2015,04,14, eLevate, 12, CLG, 16, cache, 11, 20, 0.62 
2015,04,09, CLG, 16, Cloud9, 04, nuke, 14, 12, 1.03 
2015,04,03, Liquid, 16, CLG, 07, mirage, 18, 20, 0.90 
2015,04,01, CLG, 16, SKDC, 05, dust2, 19, 10, 1.38 
2015,03,27, CLG, 16, Mythic, 08, mirage, 10, 11, 0.86 
2015,03,25, CLG, 19, eLevate, 21, dust2, 23, 29, 0.78 
2015,03,20, CLG, 16, Mythic, 13, mirage, 23, 21, 1.05 
2015,03,12, CLG, 08, KeydStars, 16, dust2, 07, 16, 0.52 
2015,03,12, CLG, 07, NiP, 16, mirage, 14, 18, 0.74 
2015,03,12, HellRaisers, 14, CLG, 16, nuke, 22, 17, 1.21 
2015,02,27, CLG, 16, Cloud9, 07, cache, 24, 11, 1.59 
2015,02,25, CLG, 16, eLevate, 04, nuke, 15, 12, 1.16 
2015,02,20, CLG, 12, Liquid, 16, mirage, 16, 22, 0.74 
2015,02,19, CLG, 14, SKDC, 16, dust2, 13, 25, 0.52 
2015,02,14, CLG, 16, Titan, 14, dust2, 23, 21, 1.12 
2015,02,14, CLG, 16, 0G2, 14, cache, 14, 24, 0.61 
2015,01,24, fnatic, 16, CLG, 07, mirage, 09, 19, 0.47 
2015,01,24, Liquid, 16, CLG, 05, cache, 13, 18, 0.83 
2015,01,23, CLG, 16, LDLC, 14, dust2, 18, 24, 0.76 
2014,12,20, iBUYPOWER, 08, mouseSpaz, 16, season, 14, 15, 0.83 
2014,12,20, mouseSpaz, 16, iBUYPOWER, 12, nuke, 23, 19, 1.18 
2014,12,20, iBUYPOWER, 16, mouseSpaz, 03, inferno, 04, 18, 0.22 
2014,12,20, mouseSpaz, 12, iBUYPOWER, 16, cache, 16, 18, 0.93 
2014,12,20, mouseSpaz, 21, iBUYPOWER, 19, dust2, 23, 32, 0.80 
2014,12,20, mouseSpaz, 16, Torqued, 09, nuke, 18, 13, 1.20 
2014,12,20, mouseSpaz, 16, Torqued, 11, inferno, 26, 16, 1.31 
2014,12,20, mouseSpaz, 21, Torqued, 18, mirage, 29, 23, 1.19 
2014,10,21, Denial, 10, NetcodeGuides.com, 16, nuke, 18, 18, 0.97 
2014,10,02, NetcodeGuides.com, 16, LunatiK, 10, nuke, 23, 14, 1.33 
2014,09,25, iBUYPOWER, 16, NetcodeGuides.com, 14, nuke, 17, 22, 0.83 
2014,09,11, Cloud9, 16, NetcodeGuides.com, 06, dust2, 12, 18, 0.71 
2014,09,04, savage, 10, NetcodeGuides.com, 16, cache, 10, 15, 0.71 
