2013,11,29, 0SK, 03, Reason, 16, inferno, 09, 16, 0.52 
2013,11,29, CPHWolves, 16, 0SK, 11, inferno, 12, 22, 0.54 
2013,11,23, fnatic, 16, 0SK, 13, mirage, 22, 19, 1.24 
2013,11,23, 0SK, 16, TyLoo, 12, train, 20, 17, 1.02 
2013,11,23, 0SK, 16, TeamLZ, 06, train, 15, 15, 0.93 
2013,10,06, VeryGames, 16, 0SK, 03, inferno_se, 08, 18, 0.46 
2013,10,06, VeryGames, 17, 0SK, 19, dust2_se, 25, 26, 0.94 
2013,10,06, VeryGames, 19, 0SK, 17, mirage_ce, 23, 23, 0.94 
2013,09,30, n!faculty, 19, Lemondogs, 22, train_se, 32, 24, 1.19 
2013,09,30, n!faculty, 13, Lemondogs, 16, dust2_se, 18, 20, 0.93 
2013,09,15, NiP, 16, Lemondogs, 04, dust2_se, 10, 19, 0.55 
2013,09,15, Lemondogs, 11, NiP, 16, inferno_se, 23, 16, 1.19 
2013,09,15, Lemondogs, 16, NatusVincere, 11, dust2_se, 18, 18, 1.00 
2013,09,15, NatusVincere, 11, Lemondogs, 16, train_se, 15, 18, 0.84 
2013,09,15, NatusVincere, 16, Lemondogs, 07, mirage_ce, 10, 20, 0.55 
2013,09,14, Lemondogs, 19, fnatic, 17, dust2_se, 31, 24, 1.20 
2013,09,14, fnatic, 12, Lemondogs, 16, mirage_ce, 16, 19, 0.91 
2013,09,14, Lemondogs, 16, Refuse, 08, mirage_ce, 18, 18, 0.98 
2013,09,14, VeryGames, 16, Lemondogs, 12, dust2_se, 19, 20, 0.97 
2013,09,14, Tessa, 02, Lemondogs, 16, dust2_se, 15, 09, 1.43 
2013,09,11, Lemondogs, 11, ESC, 16, mirage_ce, 14, 21, 0.76 
2013,09,11, 3DMAX, 09, Lemondogs, 16, dust2_se, 16, 16, 1.01 
2013,09,10, Lemondogs, 16, 3DMAX, 08, mirage_ce, 17, 13, 1.09 
2013,09,10, k1ck, 05, Lemondogs, 16, dust2_se, 20, 07, 1.62 
2013,09,09, Lemondogs, 16, fnatic, 02, train_se, 11, 09, 0.90 
2013,09,09, NatusVincere, 15, Lemondogs, 15, inferno_se, 13, 18, 0.73 
2013,09,08, VeryGames, 15, Lemondogs, 15, dust2_se, 23, 19, 1.10 
2013,09,02, Lemondogs, 16, n!faculty, 12, mirage_ce, 33, 16, 1.76 
2013,08,26, Lemondogs, 14, CPLAY, 16, train_se, 23, 19, 1.11 
2013,08,22, NiP, 16, Lemondogs, 06, train_se, 09, 20, 0.42 
2013,08,11, LDLC, 13, Lemondogs, 16, mirage_ce, 17, 18, 0.83 
2013,08,11, Lemondogs, 16, USSR, 10, mirage_ce, 23, 15, 1.35 
2013,06,17, Lemondogs, 03, Virtus.pro, 16, dust2_se, 11, 17, 0.72 
2013,06,17, Lemondogs, 14, Virtus.pro, 16, mirage_ce, 08, 25, 0.38 
2013,06,16, Lemondogs, 19, fnatic, 16, dust2_se, 21, 20, 0.95 
2013,06,16, Lemondogs, 07, LDLC, 16, mirage_ce, 14, 16, 1.01 
2013,06,16, Lemondogs, 16, fnatic, 02, train_se, 12, 06, 1.23 
2013,03,30, Curse, 16, WRTT, 08, nuke_se, 10, 18, 0.70 
2013,03,30, WRTT, 16, EYESONU, 07, train_se, 19, 09, 1.44 
2013,03,30, WRTT, 04, mousesports, 16, mirage_ce, 08, 18, 0.53 
2013,03,30, mousesports, 16, WRTT, 04, inferno_se, 06, 18, 0.33 
2013,03,29, Xapso, 11, WRTT, 16, dust2_se, 19, 18, 0.95 
2013,03,29, WRTT, 22, Xapso, 18, mirage_ce, 36, 25, 1.28 
2013,03,29, Xapso, 16, WRTT, 07, inferno_se, 09, 15, 0.66 
2013,03,29, WRTT, 16, Nostalgie, 06, dust2_se, 18, 12, 1.32 
2013,03,29, Virtus.pro, 16, WRTT, 06, inferno_se, 13, 19, 0.71 
2013,03,29, Virtus.pro, 16, WRTT, 11, dust2_se, 22, 18, 1.17 
2013,03,24, WRTT, 16, CAI, 08, dust2_se, 19, 18, 1.08 
2013,03,24, WRTT, 16, CAI, 12, inferno_se, 19, 20, 1.03 
2013,03,24, AWTR, 10, WRTT, 16, mirage_ce, 18, 19, 1.00 
2013,03,24, AWTR, 08, WRTT, 16, nuke_se, 17, 16, 1.06 
2013,03,09, WRTT, 14, hGh, 16, mirage_ce, 21, 19, 1.21 
2013,03,09, hGh, 16, WRTT, 05, inferno_se, 17, 15, 1.02 
2013,03,09, hGh, 08, WRTT, 16, dust2_se, 25, 15, 1.49 
2013,02,27, fnatic, 16, Epsilon, 08, mirage_ce, 11, 20, 0.59 
2013,02,21, NiP, 16, Epsilon, 04, train_se, 07, 17, 0.44 
2013,02,21, NiP, 16, Epsilon, 02, inferno_se, 09, 18, 0.45 
2013,02,21, Epsilon, 16, Imaginary, 09, inferno_se, 19, 17, 1.13 
2013,02,20, Epsilon, 16, n!faculty, 09, inferno_se, 20, 20, 1.03 
2013,02,20, Epsilon, 21, k1ck, 17, inferno_se, 23, 25, 0.94 
2013,02,20, Evokate, 01, Epsilon, 16, mirage_ce, 11, 08, 1.04 
2013,02,18, Epsilon, 16, Lemondogs, 13, mirage_ce, 15, 17, 0.83 
2013,02,18, Lemondogs, 09, Epsilon, 16, inferno_se, 17, 13, 1.13 
2013,02,18, Epsilon, 03, Lemondogs, 16, train_se, 17, 18, 0.97 
2013,02,17, VYE, 09, Epsilon, 16, mirage_ce, 18, 16, 1.03 
2013,02,14, n!faculty, 05, Epsilon, 16, mirage_ce, 18, 12, 1.18 
2013,02,14, Epsilon, 16, n!faculty, 12, train_se, 21, 13, 1.24 
2013,02,14, Epsilon, 16, Imaginary, 05, inferno_se, 21, 11, 1.47 
2013,02,13, DRUCKWELLE, 22, Epsilon, 26, mirage_ce, 27, 36, 0.80 
2013,02,13, Wizards, 04, Epsilon, 16, inferno_se, 24, 09, 2.12 
2013,02,13, MTFGaming, 11, Epsilon, 16, mirage_ce, 20, 15, 1.15 
