2015,12,10, Conquest, 04, fnatic, 16, mirage, 11, 19, 0.56 
2015,11,20, CLG, 13, Conquest, 16, inferno, 18, 22, 0.92 
2015,11,20, 3sUP, 11, Conquest, 16, mirage, 16, 15, 0.97 
2015,11,15, compLexity, 16, Conquest, 10, cobblestone, 19, 19, 1.01 
2015,11,14, Conquest, 04, Cloud9, 16, inferno, 10, 16, 0.64 
2015,11,13, Conquest, 25, compLexity, 22, inferno, 46, 30, 1.40 
2015,11,13, SKDC, 08, Conquest, 16, cache, 19, 17, 0.97 
2015,11,12, CLG, 13, Conquest, 16, overpass, 32, 16, 1.67 
2015,11,12, Conquest, 16, CLG, 03, mirage, 22, 09, 1.76 
2015,11,12, Conquest, 12, CLG, 16, dust2, 21, 20, 1.00 
2015,11,12, Liquid, 16, Conquest, 08, cache, 18, 19, 0.92 
2015,11,11, Cloud9, 16, Conquest, 06, dust2, 13, 18, 0.80 
2015,11,08, mousesports, 16, Conquest, 11, cache, 18, 20, 0.96 
2015,11,08, Conquest, 16, mousesports, 08, overpass, 15, 15, 0.92 
2015,11,08, mousesports, 16, Conquest, 11, inferno, 24, 21, 1.10 
2015,11,08, dignitas, 13, Conquest, 16, cache, 23, 20, 1.10 
2015,11,08, Conquest, 19, dignitas, 22, train, 28, 35, 0.82 
2015,11,08, dignitas, 09, Conquest, 16, cobblestone, 13, 17, 0.77 
2015,11,07, Liquid, 18, Conquest, 22, cobblestone, 37, 25, 1.28 
2015,11,07, Liquid, 11, Conquest, 16, train, 22, 17, 1.31 
2015,11,07, Virtus.pro, 22, Conquest, 19, inferno, 24, 32, 0.71 
2015,11,07, Virtus.pro, 16, Conquest, 07, train, 16, 19, 0.80 
2015,11,05, Enemy, 06, Conquest, 16, mirage, 14, 14, 0.91 
2015,11,04, Conquest, 16, SKDC, 03, train, 16, 06, 1.48 
2015,10,30, compLexity, 13, Conquest, 16, cobblestone, 25, 21, 1.19 
2015,10,30, compLexity, 13, Conquest, 16, inferno, 22, 19, 1.14 
2015,10,28, Coastless, 09, Conquest, 16, train, 18, 16, 1.01 
2015,10,28, Coastless, 07, Conquest, 16, overpass, 23, 17, 1.38 
2015,10,27, Splyce, 05, Conquest, 16, overpass, 28, 11, 2.03 
2015,10,27, Conquest, 16, Splyce, 13, train, 28, 15, 1.46 
2015,10,22, Conquest, 16, Cloud9, 06, overpass, 18, 12, 1.19 
2015,10,21, Enemy, 09, Conquest, 16, overpass, 18, 14, 1.03 
2015,10,19, Winterfox, 14, Conquest, 16, cobblestone, 27, 18, 1.33 
2015,10,19, Method, 03, Conquest, 16, overpass, 31, 07, 2.46 
2015,10,18, Method, 07, Conquest, 16, dust2, 17, 14, 1.11 
2015,10,18, Conquest, 16, Winterfox, 13, inferno, 21, 20, 1.08 
2015,10,15, 3sUP, 16, Conquest, 10, dust2, 12, 17, 0.78 
2015,10,14, Luminosity, 16, Conquest, 11, mirage, 16, 22, 0.80 
2015,10,10, Sweden, 16, Canada, 11, cobblestone, 23, 19, 1.13 
2015,10,10, Canada, 17, Sweden, 19, inferno, 22, 23, 0.89 
2015,10,09, Norway, 10, Canada, 16, dust2, 21, 14, 1.21 
2015,10,09, Belgium, 09, Canada, 16, train, 26, 11, 1.58 
2015,10,05, Enemy, 10, Conquest, 16, mirage, 12, 17, 0.71 
2015,10,05, Conquest, 16, Enemy, 11, inferno, 21, 14, 1.30 
2015,10,05, Winterfox, 07, Conquest, 16, cache, 18, 12, 1.30 
2015,10,05, Winterfox, 06, Conquest, 16, inferno, 15, 07, 1.31 
2015,10,02, Conquest, 11, Luminosity, 16, train, 15, 19, 0.90 
2015,09,30, Conquest, 17, compLexity, 19, cobblestone, 13, 24, 0.61 
2015,09,29, Luminosity, 16, Conquest, 10, dust2, 25, 19, 1.36 
2015,09,29, Luminosity, 16, Conquest, 14, cobblestone, 23, 21, 1.06 
2015,09,28, Method, 08, Conquest, 16, train, 20, 12, 1.23 
2015,09,28, Conquest, 16, Method, 10, cache, 21, 17, 1.07 
2015,09,25, Conquest, 16, Coast, 06, cobblestone, 18, 12, 1.27 
2015,09,25, Coast, 04, Conquest, 16, inferno, 13, 07, 1.16 
2015,09,23, Conquest, 16, Leader-1, 04, inferno, 19, 07, 1.61 
2015,09,23, ACE, 10, Conquest, 16, cobblestone, 21, 16, 1.14 
2015,09,18, Conquest, 21, Luminosity, 26, cache, 29, 36, 0.87 
2015,09,18, Luminosity, 08, Conquest, 16, inferno, 19, 17, 1.04 
2015,09,18, Conquest, 06, Luminosity, 16, mirage, 12, 17, 0.80 
2015,09,17, CLG, 16, Conquest, 11, cobblestone, 18, 19, 0.97 
2015,09,17, Coast, 16, Conquest, 09, cobblestone, 13, 23, 0.57 
2015,09,17, Braindead, 04, Conquest, 16, cache, 16, 08, 1.36 
2015,09,17, Conquest, 16, Braindead, 06, cobblestone, 12, 11, 0.89 
2015,09,16, Conquest, 16, Liquid, 06, train, 21, 11, 1.44 
2015,09,15, Conquest, 16, Enemy, 02, inferno, 21, 07, 1.86 
2015,09,15, Enemy, 14, Conquest, 16, cache, 21, 20, 1.05 
2015,09,14, Conquest, 16, CLG, 14, mirage, 15, 20, 0.81 
2015,09,14, CLG, 13, Conquest, 16, cobblestone, 22, 22, 1.07 
2015,09,14, Conquest, 13, CLG, 16, train, 15, 22, 0.69 
2015,09,13, Conquest, 21, Luminosity, 25, inferno, 37, 32, 1.19 
