2013,11,14, ALTERNATEaTTaX, 16, Nostalgie, 04, nuke, 10, 18, 0.53 
2013,11,12, Nostalgie, 09, momomomo, 16, cache, 08, 20, 0.52 
2013,11,12, Nostalgie, 16, USSR, 09, inferno, 16, 15, 0.91 
2013,11,12, ACES, 16, Nostalgie, 02, mirage, 05, 17, 0.28 
2013,11,09, Poland, 09, Russia, 16, dust2_se, 08, 17, 0.60 
2013,11,09, Russia, 16, CzechRepublic, 01, inferno_se, 20, 05, 2.04 
2013,10,05, Russia, 16, Bosnia&Herzegovina, 05, mirage_ce, 13, 08, 1.13 
2013,10,05, Spain, 07, Russia, 16, nuke_se, 24, 14, 1.49 
2013,05,01, n!faculty, 19, Nostalgie, 16, inferno_se, 28, 24, 1.27 
2013,05,01, n!faculty, 16, Nostalgie, 08, dust2_se, 12, 22, 0.56 
2013,05,01, n!faculty, 14, Nostalgie, 16, mirage_ce, 23, 21, 1.04 
2013,05,01, Nostalgie, 10, SuperstarS, 16, dust2_se, 13, 22, 0.57 
2013,05,01, Nostalgie, 12, SuperstarS, 16, mirage_ce, 27, 20, 1.27 
2013,03,30, Server-Forge, 16, Nostalgie, 01, mirage_ce, 09, 17, 0.51 
2013,03,30, Server-Forge, 19, Nostalgie, 15, nuke_se, 22, 26, 0.85 
2013,03,29, Nostalgie, 06, Virtus.pro, 16, mirage_ce, 08, 20, 0.43 
2013,03,29, Nostalgie, 02, Virtus.pro, 16, dust2_se, 08, 17, 0.48 
2013,03,29, WRTT, 16, Nostalgie, 06, dust2_se, 10, 18, 0.58 
2013,03,29, Xapso, 16, Nostalgie, 09, inferno_se, 19, 18, 1.07 
2013,03,29, Xapso, 16, Nostalgie, 13, mirage_ce, 18, 18, 0.99 
2013,03,20, dAT, 16, KerchNET, 13, mirage_ce, 19, 17, 1.03 
2013,03,20, NatusVincere, 16, dAT, 07, mirage_ce, 04, 18, 0.32 
2013,03,20, dAT, 08, ESC, 16, nuke_se, 13, 21, 0.68 
2013,03,18, Virtus.pro, 16, dAT, 04, inferno_se, 12, 19, 0.69 
2013,03,14, dAT, 06, Imaginary, 16, inferno_se, 10, 18, 0.58 
2013,03,12, Faith, 13, dAT, 16, mirage_ce, 19, 21, 0.85 
2013,03,10, NiP, 16, dAT, 02, train_se, 08, 16, 0.56 
2013,03,10, ALTERNATEaTTaX, 16, dAT, 04, dust2_se, 12, 17, 0.74 
2013,03,05, dAT, 05, Anexis, 16, dust2_se, 13, 18, 0.88 
2013,03,01, zNation, 16, dAT, 08, mirage_ce, 16, 20, 0.84 
2013,02,28, dAT, 16, RussianRoulette, 02, mirage_ce, 20, 02, 1.91 
2013,02,24, NiP, 16, Nostalgie, 05, dust2_se, 14, 18, 0.81 
2013,02,24, NiP, 16, Nostalgie, 02, nuke_se, 07, 17, 0.40 
2013,02,24, Nostalgie, 16, TeamCRG, 11, inferno_se, 26, 18, 1.26 
2013,02,24, e-Sports.rs, 09, Nostalgie, 16, mirage_ce, 17, 11, 1.11 
2013,02,23, VeryGames, 16, Nostalgie, 03, nuke_se, 17, 17, 1.14 
2013,02,23, TCM-Gaming, 16, Nostalgie, 09, dust2_se, 15, 15, 0.90 
2013,02,23, Nostalgie, 16, Imaginary, 10, mirage_ce, 20, 15, 1.17 
2013,02,23, NiP, 16, Nostalgie, 08, dust2_se, 13, 16, 0.92 
2013,02,18, fnatic, 16, dAT, 05, mirage_ce, 12, 18, 0.65 
2013,02,18, 3DMAX, 16, dAT, 10, inferno_se, 13, 18, 0.80 
2012,12,06, Imaginary, 16, Rush3D, 03, inferno_se, 10, 17, 0.59 
2012,12,06, mousesports, 16, Rush3D, 07, dust2_se, 13, 17, 0.79 
2012,12,01, dAT, 10, myDGB.net, 16, mirage_ce, 16, 22, 0.73 
2012,12,01, dAT, 09, eXtensive, 16, nuke_se, 16, 21, 0.78 
2012,12,01, dAT, 13, k1ck, 16, dust2_se, 23, 23, 0.91 
2012,12,01, VeryGames, 16, dAT, 13, nuke_se, 13, 23, 0.58 
2012,11,29, Rush3D, 15, CPHWolves, 15, mirage_ce, 16, 24, 0.71 
2012,11,14, Virtus.pro, 16, Rush3D, 07, dust2_se, 14, 19, 0.78 
2012,11,13, Rush3D, 08, ESC, 16, nuke_se, 22, 19, 1.25 
