2015,09,16, Poland, 10, Denmark, 16, cache, 17, 16, 1.02 
2015,09,16, Reason, 10, dignitas, 16, dust2, 19, 15, 1.09 
2015,09,16, Reason, 13, dignitas, 16, cache, 20, 14, 1.12 
2015,09,16, Denmark, 16, Romania, 08, mirage, 19, 13, 1.23 
2015,09,15, Denmark, 16, Latvia, 00, dust2, 14, 03, 1.54 
2015,09,15, Denmark, 08, Kazakhstan, 16, cache, 30, 17, 1.79 
2015,09,14, Denmark, 16, Portugal, 03, cache, 21, 11, 1.63 
2015,09,13, Reason, 07, dignitas, 16, mirage, 19, 10, 1.40 
2015,09,13, dignitas, 16, Reason, 13, dust2, 20, 16, 1.10 
2015,09,13, k1ck, 18, dignitas, 21, inferno, 26, 22, 1.09 
2015,09,13, k1ck, 09, dignitas, 16, overpass, 17, 16, 1.14 
2015,09,13, dignitas, 16, AWTR, 12, mirage, 19, 17, 1.03 
2015,09,13, dignitas, 16, AWTR, 08, overpass, 14, 10, 1.06 
2015,09,10, dignitas, 16, PENTA, 07, inferno, 19, 13, 1.22 
2015,09,10, PENTA, 07, dignitas, 16, mirage, 17, 13, 1.22 
2015,09,09, dignitas, 16, HellRaisers, 03, overpass, 20, 08, 1.60 
2015,09,09, HellRaisers, 16, dignitas, 10, cobblestone, 19, 18, 1.11 
2015,09,06, dignitas, 16, MIXCAT, 12, mirage, 24, 20, 1.24 
2015,09,06, Wizards, 03, dignitas, 16, overpass, 17, 11, 1.49 
2015,09,06, k1ck, 16, dignitas, 07, cobblestone, 13, 19, 0.82 
2015,09,06, k1ck, 16, dignitas, 14, mirage, 17, 19, 0.89 
2015,09,03, dignitas, 13, Kinguin, 16, mirage, 25, 21, 1.29 
2015,09,03, dignitas, 06, NatusVincere, 16, overpass, 13, 18, 0.80 
2015,09,02, Titan, 16, dignitas, 06, cobblestone, 10, 18, 0.53 
2015,09,02, dignitas, 15, Titan, 19, train, 24, 24, 0.98 
2015,09,02, dignitas, 16, Property, 03, train, 25, 08, 1.91 
2015,09,02, dignitas, 08, Property, 16, overpass, 18, 15, 1.10 
2015,09,01, mousesports, 16, dignitas, 08, overpass, 17, 17, 1.00 
2015,09,01, dignitas, 07, mousesports, 16, dust2, 17, 17, 0.98 
2015,09,01, mousesports, 10, dignitas, 16, train, 31, 17, 1.61 
2015,09,01, dignitas, 11, mousesports, 16, mirage, 12, 23, 0.54 
2015,08,31, dignitas, 05, fnatic, 16, cobblestone, 18, 16, 1.13 
2015,08,31, fnatic, 16, dignitas, 08, cache, 19, 20, 1.04 
2015,08,30, dignitas, 16, Titan, 12, cobblestone, 24, 16, 1.31 
2015,08,30, Titan, 16, dignitas, 08, mirage, 12, 18, 0.65 
2015,08,30, dignitas, 16, Titan, 09, train, 17, 17, 0.97 
2015,08,30, dignitas, 16, CPHWolves, 07, overpass, 18, 11, 1.31 
2015,08,30, CPHWolves, 15, dignitas, 19, mirage, 15, 20, 0.76 
2015,08,27, dignitas, 14, Dobry&Gaming, 16, cobblestone, 15, 21, 0.68 
2015,08,27, Dobry&Gaming, 19, dignitas, 17, overpass, 23, 26, 0.89 
2015,08,27, dignitas, 16, Dobry&Gaming, 14, train, 26, 16, 1.28 
2015,08,26, dignitas, 16, FlipSid3, 11, train, 16, 14, 1.04 
2015,08,26, FlipSid3, 08, dignitas, 16, mirage, 24, 09, 1.54 
2015,08,26, Property, 09, dignitas, 16, overpass, 19, 14, 1.16 
2015,08,26, dignitas, 19, Property, 17, mirage, 26, 22, 1.05 
2015,08,26, FlipSid3, 16, dignitas, 06, inferno, 12, 19, 0.70 
2015,08,26, dignitas, 16, FlipSid3, 05, mirage, 15, 10, 1.11 
2015,08,20, E-frag.net, 14, dignitas, 16, mirage, 16, 20, 0.79 
2015,08,20, dignitas, 16, E-frag.net, 13, cache, 23, 20, 1.10 
2015,08,20, INFINITY, 11, dignitas, 16, inferno, 27, 15, 1.50 
2015,08,20, dignitas, 16, INFINITY, 00, mirage, 13, 02, 1.54 
2015,08,19, dignitas, 16, Phenomenon, 05, inferno, 21, 06, 1.67 
2015,08,19, Phenomenon, 13, dignitas, 16, cache, 22, 23, 0.94 
2015,08,19, dignitas, 16, Phenomenon, 09, mirage, 27, 12, 1.58 
2015,08,17, dignitas, 16, OverGaming, 12, mirage, 17, 17, 0.91 
2015,08,17, OverGaming, 04, dignitas, 16, cache, 28, 07, 2.14 
2015,08,17, dignitas, 16, Aposis, 05, mirage, 17, 07, 1.33 
2015,08,16, dignitas, 16, E-frag.net, 10, overpass, 20, 15, 1.19 
2015,08,16, E-frag.net, 12, dignitas, 16, inferno, 16, 17, 0.90 
2015,08,14, Dobry&Gaming, 06, dignitas, 16, cobblestone, 15, 12, 1.10 
2015,08,14, dignitas, 16, Dobry&Gaming, 10, overpass, 21, 16, 1.12 
2015,08,14, Dobry&Gaming, 16, dignitas, 05, mirage, 08, 18, 0.49 
2015,08,14, dignitas, 10, Dobry&Gaming, 16, cache, 14, 21, 0.72 
2015,08,14, Dobry&Gaming, 10, dignitas, 16, dust2, 12, 16, 0.74 
2015,08,13, dignitas, 16, volgare, 03, inferno, 17, 08, 1.43 
2015,08,13, dignitas, 16, volgare, 06, mirage, 19, 10, 1.48 
2015,08,13, Aftermatch, 07, dignitas, 16, dust2, 15, 15, 0.93 
2015,08,13, dignitas, 16, Aftermatch, 05, overpass, 19, 10, 1.35 
2015,08,11, dignitas, 09, NatusVincere, 16, train, 12, 19, 0.71 
2015,08,11, dignitas, 15, NatusVincere, 21, mirage, 19, 26, 0.89 
2015,08,09, dignitas, 16, HellRaisers, 10, overpass, 23, 12, 1.40 
2015,08,09, dignitas, 16, HellRaisers, 02, mirage, 12, 06, 1.26 
2015,08,01, HellRaisers, 16, dignitas, 03, cache, 08, 19, 0.41 
2015,08,01, HellRaisers, 08, dignitas, 16, cobblestone, 15, 17, 0.83 
