2015,08,17, CPHWolves, 16, LDLCWhite, 12, inferno, 12, 19, 0.74 
2015,07,10, NiP, 16, LDLCWhite, 08, cache, 20, 20, 1.17 
2015,07,10, LDLCWhite, 13, QeeYou, 16, inferno, 10, 19, 0.59 
2015,07,10, LDLCWhite, 13, Liquid, 16, train, 19, 21, 0.91 
2015,05,26, Fraternitas, 16, LDLCWhite, 09, train, 12, 20, 0.70 
2015,05,26, LDLCWhite, 10, Fraternitas, 16, inferno, 25, 18, 1.28 
2015,05,26, Fraternitas, 05, LDLCWhite, 16, dust2, 20, 09, 1.59 
2015,05,26, Acer, 12, LDLCWhite, 16, cobblestone, 15, 21, 0.71 
2015,05,25, LDLCWhite, 14, INSHOCK, 16, train, 18, 21, 0.84 
2015,05,25, LDLCWhite, 05, INSHOCK, 16, cache, 11, 19, 0.63 
2015,05,25, INSHOCK, 03, LDLCWhite, 16, dust2, 16, 09, 1.26 
2015,05,25, LDLCWhite, 21, USSR, 17, dust2, 23, 26, 0.82 
2015,05,25, LDLCWhite, 21, USSR, 18, cobblestone, 19, 31, 0.64 
2015,05,24, LGB, 16, LDLCWhite, 12, dust2, 18, 22, 0.79 
2015,05,21, LDLCWhite, 06, FlipSid3, 16, mirage, 13, 17, 0.84 
2015,05,21, FlipSid3, 10, LDLCWhite, 16, cache, 21, 18, 1.05 
2015,05,21, LDLCWhite, 12, FlipSid3, 16, cobblestone, 18, 23, 0.81 
2015,05,20, SpaceSoldiers, 16, LDLCWhite, 08, dust2, 16, 18, 0.81 
2015,05,18, LDLCWhite, 10, PiTER, 16, mirage, 21, 20, 1.13 
2015,05,18, PiTER, 16, LDLCWhite, 07, inferno, 15, 18, 0.85 
2015,05,14, LDLCWhite, 16, LDLCBlue, 05, inferno, 18, 09, 1.36 
2015,05,13, KILLERFISH, 09, LDLCWhite, 16, inferno, 18, 20, 1.08 
2015,05,11, Publiclir.se, 13, LDLCWhite, 16, inferno, 13, 18, 0.82 
2015,05,09, HellRaisers, 16, LDLCWhite, 14, cache, 18, 20, 0.93 
2015,05,09, LDLCWhite, 22, EnVyUs, 25, inferno, 31, 32, 0.92 
2015,05,09, LDLCWhite, 16, Awsomniac, 14, cobblestone, 19, 18, 0.99 
2015,05,08, LDLCBlue, 08, LDLCWhite, 16, cobblestone, 16, 14, 0.95 
2015,05,08, LDLCWhite, 16, beGenius, 09, cache, 16, 13, 1.09 
2015,04,21, FlipSid3, 16, LDLCWhite, 14, cache, 21, 22, 1.09 
2015,04,21, LDLCWhite, 03, FlipSid3, 16, inferno, 14, 16, 0.90 
2015,04,21, FlipSid3, 16, LDLCWhite, 03, cobblestone, 06, 17, 0.38 
2015,04,21, LDLCWhite, 16, FlipSid3, 11, mirage, 21, 18, 1.09 
2015,04,20, Property, 07, LDLCWhite, 16, cobblestone, 17, 11, 1.25 
2015,04,20, LDLCWhite, 21, Property, 19, dust2, 32, 26, 1.17 
2015,04,20, LDLCWhite, 13, Property, 16, inferno, 32, 18, 1.51 
2014,12,17, Vikings, 06, QueenConsolidated, 16, dust2, 13, 18, 0.83 
2014,12,17, Vikings, 07, QueenConsolidated, 16, inferno, 15, 17, 0.88 
2014,12,17, QueenConsolidated, 16, Vikings, 06, cobblestone, 16, 18, 0.97 
2014,12,17, Vikings, 16, QueenConsolidated, 08, nuke, 23, 12, 1.50 
2014,09,28, myXMG, 16, fusd0, 03, inferno, 10, 16, 0.66 
