2015,10,24, TSM, 16, Virtus.pro, 03, overpass, 19, 08, 1.58 
2015,10,22, TSM, 20, fnatic, 22, mirage, 30, 30, 0.93 
2015,10,22, TSM, 16, GreyFace, 11, dust2, 25, 15, 1.35 
2015,10,22, GreyFace, 06, TSM, 16, overpass, 19, 10, 1.40 
2015,10,21, TSM, 05, Virtus.pro, 16, overpass, 06, 19, 0.34 
2015,10,20, TSM, 13, EnVyUs, 16, mirage, 25, 18, 1.25 
2015,10,20, TSM, 16, PENTA, 01, cobblestone, 25, 05, 2.32 
2015,10,20, Virtus.pro, 11, TSM, 16, mirage, 15, 15, 0.91 
2015,10,19, TSM, 16, Titan, 05, inferno, 23, 08, 1.78 
2015,10,19, Titan, 12, TSM, 16, dust2, 14, 19, 0.78 
2015,10,18, TSM, 16, dignitas, 06, mirage, 14, 12, 1.01 
2015,10,18, TSM, 19, NatusVincere, 16, cache, 23, 21, 1.01 
2015,10,18, HellRaisers, 16, TSM, 08, cache, 15, 21, 0.74 
2015,10,18, HellRaisers, 06, TSM, 16, mirage, 15, 12, 1.07 
2015,10,17, PENTA, 03, TSM, 16, inferno, 19, 11, 1.48 
2015,10,15, NiP, 16, TSM, 09, inferno, 18, 17, 1.05 
2015,10,15, NiP, 16, TSM, 12, cache, 22, 21, 1.01 
2015,10,15, TSM, 16, NiP, 13, dust2, 21, 18, 0.97 
2015,10,15, TSM, 16, mousesports, 13, dust2, 26, 20, 1.18 
2015,10,15, Titan, 13, TSM, 16, cobblestone, 31, 19, 1.47 
2015,10,14, TSM, 13, NiP, 16, dust2, 18, 16, 0.96 
2015,10,14, Titan, 05, TSM, 16, overpass, 19, 11, 1.31 
2015,10,14, TSM, 16, ttc, 08, overpass, 16, 14, 1.14 
2015,10,14, TSM, 16, ttc, 07, cache, 29, 12, 1.72 
2015,10,13, TSM, 16, fnatic, 03, dust2, 18, 07, 1.55 
2015,10,13, 0G2, 19, TSM, 21, dust2, 19, 25, 0.79 
2015,10,13, Torpedo, 04, TSM, 16, overpass, 12, 08, 1.14 
