2015,09,22, dignitas, 06, Cloud9, 16, cache, 14, 15, 0.92 
2015,09,22, dignitas, 12, Cloud9, 16, inferno, 24, 17, 1.24 
2015,09,22, dignitas, 16, Immunity, 12, inferno, 15, 14, 0.94 
2015,09,22, Immunity, 05, dignitas, 16, cache, 23, 08, 1.72 
2015,09,20, dignitas, 14, TSM, 16, overpass, 20, 23, 0.88 
2015,09,20, TSM, 16, dignitas, 06, mirage, 18, 19, 1.06 
2015,09,19, EZskins.com, 02, dignitas, 16, mirage, 20, 05, 1.74 
2015,09,19, dignitas, 06, EnVyUs, 16, mirage, 08, 19, 0.49 
2015,09,19, Renegades, 13, dignitas, 16, cobblestone, 18, 17, 1.00 
2015,09,16, Poland, 10, Denmark, 16, cache, 25, 19, 1.22 
2015,09,16, Reason, 10, dignitas, 16, dust2, 20, 16, 1.18 
2015,09,16, Reason, 13, dignitas, 16, cache, 30, 19, 1.47 
2015,09,16, Denmark, 16, Romania, 08, mirage, 23, 17, 1.23 
2015,09,15, Denmark, 16, Latvia, 00, dust2, 27, 04, 2.64 
2015,09,15, Denmark, 08, Kazakhstan, 16, cache, 19, 17, 1.04 
2015,09,14, Denmark, 16, Portugal, 03, cache, 16, 10, 1.21 
2015,09,13, Reason, 07, dignitas, 16, mirage, 17, 10, 1.28 
2015,09,13, dignitas, 16, Reason, 13, dust2, 23, 21, 1.05 
2015,09,13, k1ck, 18, dignitas, 21, inferno, 37, 21, 1.42 
2015,09,13, k1ck, 09, dignitas, 16, overpass, 15, 16, 0.91 
2015,09,13, dignitas, 16, AWTR, 12, mirage, 24, 16, 1.36 
2015,09,13, dignitas, 16, AWTR, 08, overpass, 25, 13, 1.51 
2015,09,10, dignitas, 16, PENTA, 07, inferno, 18, 13, 1.11 
2015,09,10, PENTA, 07, dignitas, 16, mirage, 23, 12, 1.65 
2015,09,09, dignitas, 16, HellRaisers, 03, overpass, 19, 10, 1.47 
2015,09,09, HellRaisers, 16, dignitas, 10, cobblestone, 12, 21, 0.56 
2015,09,06, dignitas, 16, MIXCAT, 12, mirage, 32, 18, 1.60 
2015,09,06, Wizards, 03, dignitas, 16, overpass, 19, 09, 1.57 
2015,09,06, k1ck, 16, dignitas, 07, cobblestone, 16, 20, 0.84 
2015,09,06, k1ck, 16, dignitas, 14, mirage, 19, 24, 0.81 
2015,09,03, dignitas, 13, Kinguin, 16, mirage, 15, 24, 0.67 
2015,09,03, dignitas, 06, NatusVincere, 16, overpass, 11, 17, 0.84 
2015,09,02, Titan, 16, dignitas, 06, cobblestone, 12, 19, 0.65 
2015,09,02, dignitas, 15, Titan, 19, train, 26, 23, 1.07 
2015,09,02, dignitas, 16, Property, 03, train, 17, 08, 1.46 
2015,09,02, dignitas, 08, Property, 16, overpass, 22, 23, 1.09 
2015,09,01, mousesports, 16, dignitas, 08, overpass, 13, 19, 0.70 
2015,09,01, dignitas, 07, mousesports, 16, dust2, 09, 20, 0.46 
2015,09,01, mousesports, 10, dignitas, 16, train, 22, 19, 1.06 
2015,09,01, dignitas, 11, mousesports, 16, mirage, 18, 23, 0.87 
2015,08,31, dignitas, 05, fnatic, 16, cobblestone, 10, 20, 0.49 
2015,08,31, fnatic, 16, dignitas, 08, cache, 15, 22, 0.76 
2015,08,30, dignitas, 16, Titan, 12, cobblestone, 23, 18, 1.08 
2015,08,30, Titan, 16, dignitas, 08, mirage, 22, 19, 1.20 
2015,08,30, dignitas, 16, Titan, 09, train, 19, 17, 1.17 
2015,08,30, dignitas, 16, CPHWolves, 07, overpass, 21, 16, 1.21 
2015,08,30, CPHWolves, 15, dignitas, 19, mirage, 25, 26, 0.98 
2015,08,27, dignitas, 14, Dobry&Gaming, 16, cobblestone, 22, 20, 1.04 
2015,08,27, Dobry&Gaming, 19, dignitas, 17, overpass, 20, 29, 0.70 
2015,08,27, dignitas, 16, Dobry&Gaming, 14, train, 22, 22, 1.08 
2015,08,26, dignitas, 16, FlipSid3, 11, train, 17, 20, 0.80 
2015,08,26, FlipSid3, 08, dignitas, 16, mirage, 24, 15, 1.48 
2015,08,26, Property, 09, dignitas, 16, overpass, 22, 16, 1.21 
2015,08,26, dignitas, 19, Property, 17, mirage, 30, 24, 1.16 
