2015,05,08, LDLCWhite, 16, beGenius, 09, cache, 25, 14, 1.61 
2015,04,21, FlipSid3, 16, LDLCWhite, 14, cache, 20, 20, 0.96 
2015,04,21, LDLCWhite, 03, FlipSid3, 16, inferno, 08, 15, 0.51 
2015,04,21, FlipSid3, 16, LDLCWhite, 03, cobblestone, 03, 18, 0.17 
2015,04,21, LDLCWhite, 16, FlipSid3, 11, mirage, 28, 19, 1.40 
2015,04,20, Property, 07, LDLCWhite, 16, cobblestone, 25, 13, 1.59 
2015,04,20, LDLCWhite, 21, Property, 19, dust2, 37, 28, 1.34 
2015,04,20, LDLCWhite, 13, Property, 16, inferno, 21, 18, 1.03 
2015,01,15, Epsilon, 12, NatusVincere, 16, inferno, 08, 15, 0.70 
2014,10,31, CPHWolves, 16, Platinium, 06, inferno, 07, 20, 0.37 
2014,10,31, KaBuM.TD, 16, Platinium, 12, dust2, 21, 17, 1.18 
2014,10,31, Platinium, 16, NiP, 10, cobblestone, 16, 17, 0.93 
2014,10,31, Platinium, 08, Titan, 16, mirage, 11, 18, 0.64 
2014,10,31, HellRaisers, 16, Platinium, 12, dust2, 17, 20, 0.86 
2014,10,29, LDLC, 16, Platinium, 02, dust2, 13, 18, 0.73 
2014,10,29, Platinium, 16, iGamerz, 09, mirage, 19, 13, 1.26 
2014,10,29, Platinium, 13, LDLC, 16, inferno, 15, 22, 0.71 
2014,09,28, myXMG, 16, fusd0, 03, inferno, 05, 16, 0.36 
2014,07,19, Platinium, 20, k1ck, 22, nuke, 27, 32, 0.94 
2014,07,19, Platinium, 14, k1ck, 16, dust2, 23, 23, 0.95 
2014,07,19, Platinium, 16, k1ck, 06, inferno, 20, 09, 1.48 
2014,07,18, gBots, 06, Platinium, 16, dust2, 12, 13, 0.90 
2014,07,18, Epsilon, 16, Platinium, 13, inferno, 18, 20, 0.89 
2014,07,18, Platinium, 16, gBots, 13, inferno, 19, 16, 1.07 
