2015,04,04, CPHWolves, 09, LGB, 16, mirage, 17, 12, 1.18 
2015,04,04, CPHWolves, 05, LGB, 16, overpass, 12, 10, 1.02 
2015,04,03, LGB, 16, INSHOCK, 09, dust2, 16, 13, 1.00 
2015,04,03, INSHOCK, 16, LGB, 10, cache, 13, 17, 0.77 
2015,04,03, LGB, 16, INSHOCK, 12, mirage, 20, 20, 0.97 
2015,04,03, puta, 09, LGB, 16, dust2, 12, 16, 0.79 
2015,04,03, LGB, 16, puta, 00, mirage, 14, 09, 1.23 
2015,04,03, LGB, 16, malefiQ, 06, cache, 17, 11, 1.32 
2015,04,03, LGB, 16, malefiQ, 06, mirage, 21, 10, 1.48 
2015,03,31, LGB, 11, TSM, 16, dust2, 11, 21, 0.54 
2015,03,31, LGB, 11, fnatic, 16, cache, 18, 22, 0.92 
2015,03,12, PENTA, 16, LGB, 12, dust2, 18, 21, 0.93 
2015,03,12, EnVyUs, 16, LGB, 08, cache, 10, 19, 0.57 
2015,03,12, LGB, 16, PENTA, 03, dust2, 18, 09, 1.37 
2015,02,26, NiP, 16, LGB, 12, cache, 13, 17, 0.77 
2015,02,26, LGB, 05, Titan, 16, cache, 15, 18, 0.85 
2015,02,22, fnatic, 16, LGB, 04, cache, 11, 17, 0.76 
2015,02,22, EnVyUs, 16, LGB, 07, dust2, 11, 16, 0.67 
2015,02,19, LGB, 21, TSM, 18, mirage, 20, 27, 0.81 
2015,02,18, NatusVincere, 16, LGB, 11, mirage, 14, 19, 0.76 
2015,02,14, LGB, 16, FlipSid3, 11, inferno, 17, 15, 1.06 
2015,02,14, CPHWolves, 08, LGB, 16, inferno, 20, 11, 1.38 
2015,02,10, fnatic, 16, LGB, 11, dust2, 25, 20, 1.24 
2015,02,07, EnVyUs, 16, LGB, 03, inferno, 13, 18, 0.77 
2015,02,07, fnatic, 16, LGB, 12, cache, 17, 20, 0.93 
2015,02,07, Titan, 16, LGB, 07, dust2, 12, 16, 0.76 
2015,02,07, LGB, 16, Virtus.pro, 11, cache, 28, 15, 1.51 
2015,02,07, LGB, 05, NiP, 16, dust2, 13, 16, 0.93 
2014,12,09, Clutchit.org, 14, PENTA, 16, dust2, 17, 24, 0.81 
2014,12,09, PENTA, 16, Clutchit.org, 13, mirage, 19, 18, 0.93 
2014,12,08, Clutchit.org, 16, myXMG, 02, inferno, 22, 07, 1.94 
2014,12,08, myXMG, 16, Clutchit.org, 06, cobblestone, 25, 18, 1.55 
2014,12,08, myXMG, 17, Clutchit.org, 19, mirage, 33, 28, 1.24 
2014,12,08, Clutchit.org, 16, 3DMAX, 14, dust2, 17, 20, 0.86 
2014,12,08, 3DMAX, 06, Clutchit.org, 16, mirage, 20, 12, 1.32 
2014,12,08, Clutchit.org, 13, 3DMAX, 16, overpass, 26, 17, 1.33 
2014,11,22, FlipSid3, 16, LondonConspiracy, 13, inferno, 24, 18, 1.28 
2014,11,22, LondonConspiracy, 13, FlipSid3, 16, cache, 22, 22, 1.05 
2014,11,14, mousesports, 16, LondonConspiracy, 11, mirage, 16, 19, 0.91 
2014,11,14, LondonConspiracy, 08, mousesports, 16, overpass, 17, 18, 0.94 
