2015,10,20, TSM, 16, PENTA, 01, cobblestone, 07, 16, 0.43 
2015,10,20, dignitas, 16, PENTA, 11, mirage, 16, 21, 0.76 
2015,10,18, PENTA, 07, KILLERFISH, 16, dust2, 16, 18, 0.96 
2015,10,18, KILLERFISH, 16, PENTA, 06, cobblestone, 14, 19, 0.80 
2015,10,18, PENTA, 16, Virtus.pro, 08, cache, 27, 12, 1.71 
2015,10,18, PENTA, 03, HellRaisers, 16, overpass, 10, 16, 0.69 
2015,10,17, NiP, 16, PENTA, 04, train, 12, 17, 0.74 
2015,10,17, PENTA, 16, EnVyUs, 12, overpass, 19, 16, 1.19 
2015,10,17, PENTA, 03, TSM, 16, inferno, 07, 17, 0.42 
2015,10,17, KILLERFISH, 16, PENTA, 06, overpass, 12, 19, 0.73 
2015,10,17, PENTA, 16, KILLERFISH, 09, mirage, 21, 10, 1.54 
2015,10,17, PENTA, 16, Planetkey, 12, cache, 22, 19, 1.17 
2015,10,17, PENTA, 16, Planetkey, 07, dust2, 31, 11, 2.11 
2015,10,17, PENTA, 12, Planetkey, 16, mirage, 16, 22, 0.74 
2015,10,15, PENTA, 05, Titan, 16, cobblestone, 13, 16, 0.93 
2015,10,15, Titan, 16, PENTA, 03, dust2, 14, 18, 0.87 
2015,10,14, PENTA, 16, NatusVincere, 06, cache, 22, 15, 1.46 
2015,10,13, PENTA, 05, CSGL, 16, cache, 08, 19, 0.48 
2015,10,13, CSGL, 10, PENTA, 16, mirage, 19, 17, 1.07 
2015,10,13, E-frag.net, 16, PENTA, 03, dust2, 13, 17, 0.81 
2015,10,13, E-frag.net, 16, PENTA, 11, cache, 11, 20, 0.57 
2015,10,10, France, 16, Germany, 07, cache, 13, 19, 0.69 
2015,10,10, Germany, 02, France, 16, cobblestone, 11, 16, 0.70 
2015,10,08, Germany, 16, Sweden, 13, cache, 29, 18, 1.65 
2015,10,08, Indonesia, 06, Germany, 16, dust2, 28, 12, 1.91 
2015,10,06, PENTA, 12, Vexed, 16, cobblestone, 31, 28, 1.26 
2015,10,06, Vexed, 16, PENTA, 04, inferno, 14, 16, 0.92 
2015,10,05, HellRaisers, 16, PENTA, 09, cache, 25, 20, 1.58 
2015,10,05, HellRaisers, 16, PENTA, 06, dust2, 11, 20, 0.57 
2015,10,05, HellRaisers, 14, PENTA, 16, mirage, 18, 20, 0.93 
2015,10,03, PENTA, 16, CSGL, 05, mirage, 22, 12, 1.56 
2015,10,03, CSGL, 16, PENTA, 19, dust2, 27, 21, 1.14 
2015,09,30, Lions, 04, PENTA, 01, cache, 02, 05, 0.45 
2015,09,30, Lions, 16, PENTA, 19, inferno, 25, 19, 1.28 
2015,09,30, Lions, 19, PENTA, 16, mirage, 21, 24, 1.01 
2015,09,30, PENTA, 11, HellRaisers, 16, dust2, 24, 19, 1.24 
2015,09,30, HellRaisers, 13, PENTA, 16, mirage, 21, 21, 0.95 
2015,09,29, Germany, 10, Finland, 16, dust2, 15, 20, 0.71 
2015,09,29, Germany, 16, UnitedKingdom, 07, dust2, 27, 12, 1.65 
2015,09,28, Germany, 14, Russia, 16, mirage, 13, 24, 0.62 
2015,09,22, 0G2, 16, PENTA, 09, mirage, 19, 20, 1.03 
2015,09,22, PENTA, 16, 0G2, 11, cache, 27, 16, 1.64 
2015,09,22, PENTA, 16, XPC, 02, mirage, 22, 07, 1.91 
2015,09,22, PENTA, 16, XPC, 07, cache, 24, 14, 1.47 
2015,09,21, PENTA, 15, SententiaMortis, 19, inferno, 35, 21, 1.58 
2015,09,21, SententiaMortis, 06, PENTA, 16, mirage, 22, 13, 1.51 
2015,09,17, Turkey, 10, Germany, 16, cache, 19, 14, 1.23 
2015,09,17, Slovakia, 09, Germany, 16, dust2, 14, 17, 0.80 
2015,09,14, PENTA, 16, mousesports, 12, dust2, 26, 18, 1.27 
2015,09,14, mousesports, 16, PENTA, 08, mirage, 14, 18, 0.93 
2015,09,06, PENTA, 12, CPHWolves, 16, overpass, 17, 21, 0.81 
2015,09,06, CPHWolves, 11, PENTA, 16, cache, 13, 15, 0.81 
2015,09,06, CPHWolves, 21, PENTA, 19, mirage, 29, 28, 1.04 
2015,09,06, Torpedo, 14, PENTA, 16, inferno, 21, 20, 1.03 
2015,09,06, Torpedo, 16, PENTA, 12, cache, 22, 21, 1.03 
2015,09,06, PENTA, 16, Torpedo, 10, cobblestone, 22, 17, 1.17 
2015,08,30, mousesports, 09, fnatic, 16, overpass, 21, 19, 1.04 
2015,08,30, fnatic, 13, mousesports, 16, cache, 13, 18, 0.76 
2015,08,30, mousesports, 05, fnatic, 16, train, 19, 16, 1.14 
2015,08,26, myKPV, 07, mousesports, 16, cache, 11, 14, 0.74 
2015,08,26, mousesports, 31, myKPV, 27, dust2, 44, 37, 1.04 
2015,08,26, Dobry&Gaming, 09, mousesports, 16, dust2, 27, 20, 1.39 
2015,08,26, mousesports, 16, Dobry&Gaming, 11, train, 21, 15, 1.18 
2015,08,21, mousesports, 14, FlipSid3, 16, cobblestone, 16, 24, 0.69 
2015,08,20, mousesports, 10, Cloud9, 16, overpass, 11, 15, 0.79 
