2015,06,02, PENTA, 14, Titan, 16, train, 18, 22, 0.89 
2015,06,02, EnVyUs, 16, Titan, 13, mirage, 13, 25, 0.59 
2015,06,01, Titan, 14, NiP, 16, dust2, 14, 21, 0.65 
2015,06,01, Titan, 16, PENTA, 06, cache, 14, 12, 1.06 
2015,06,01, PENTA, 16, Titan, 12, dust2, 15, 21, 0.71 
2015,05,31, TSM, 01, Titan, 16, dust2, 23, 06, 2.10 
2015,05,28, Virtus.pro, 16, Titan, 10, overpass, 16, 18, 0.89 
2015,05,27, Titan, 12, HellRaisers, 16, mirage, 21, 19, 1.03 
2015,05,27, Titan, 16, HellRaisers, 10, dust2, 24, 16, 1.26 
2015,05,27, HellRaisers, 16, Titan, 07, cache, 10, 21, 0.51 
2015,05,27, FlipSid3, 06, Titan, 16, inferno, 11, 13, 0.80 
2015,05,26, Titan, 16, x6tence, 11, mirage, 14, 19, 0.76 
2015,05,26, x6tence, 10, Titan, 16, cache, 17, 18, 0.89 
2015,05,25, Titan, 25, PiTER, 22, inferno, 47, 34, 1.33 
2015,05,25, Titan, 16, PiTER, 04, cache, 14, 13, 0.99 
2015,05,25, Titan, 10, NiP, 16, inferno, 09, 21, 0.47 
2015,05,25, Titan, 07, NiP, 16, cache, 08, 19, 0.48 
2015,05,21, Titan, 09, Property, 16, cache, 20, 22, 0.93 
2015,05,21, Titan, 14, Property, 16, dust2, 21, 21, 1.00 
2015,05,19, mousesports, 16, Titan, 08, train, 18, 19, 0.99 
2015,05,19, Titan, 19, CPLAY, 22, inferno, 33, 29, 1.02 
2015,05,19, Titan, 15, CPLAY, 19, cache, 14, 26, 0.60 
2015,05,19, CPLAY, 14, Titan, 16, cobblestone, 21, 23, 0.97 
2015,05,17, Titan, 09, fnatic, 16, inferno, 16, 17, 0.94 
2015,05,17, fnatic, 11, Titan, 16, cache, 26, 18, 1.33 
2015,05,17, Titan, 03, fnatic, 16, cobblestone, 15, 16, 0.94 
2015,05,16, Titan, 16, Cloud9, 09, inferno, 25, 13, 1.46 
2015,05,16, Cloud9, 06, Titan, 16, cache, 21, 12, 1.39 
2015,05,16, Virtus.pro, 10, Titan, 16, mirage, 16, 17, 1.00 
2015,05,16, Titan, 16, Virtus.pro, 04, cobblestone, 17, 08, 1.30 
2015,05,15, Titan, 14, EnVyUs, 16, inferno, 14, 26, 0.58 
2015,05,15, Titan, 10, EnVyUs, 16, cache, 10, 20, 0.55 
2015,05,15, Titan, 16, Immunity, 01, inferno, 16, 06, 1.59 
2015,05,15, Titan, 19, Immunity, 17, mirage, 20, 25, 0.81 
2015,05,13, HellRaisers, 16, Titan, 19, cache, 21, 30, 0.78 
2015,05,13, Titan, 13, HellRaisers, 16, train, 24, 19, 1.21 
2015,05,13, Titan, 16, PENTA, 05, cobblestone, 17, 11, 1.20 
2015,05,13, Titan, 16, HellRaisers, 14, inferno, 25, 21, 1.15 
2015,05,12, Titan, 16, TSM, 12, inferno, 17, 17, 0.97 
2015,05,12, mousesports, 09, Titan, 16, cobblestone, 22, 16, 1.33 
2015,05,12, Titan, 11, mousesports, 16, overpass, 22, 20, 1.11 
2015,05,10, HellRaisers, 16, Titan, 10, train, 12, 21, 0.61 
2015,05,09, Titan, 09, EnVyUs, 16, cache, 17, 19, 0.81 
2015,05,09, Titan, 16, HellRaisers, 03, inferno, 25, 07, 1.98 
2015,05,06, Titan, 14, HellRaisers, 16, dust2, 26, 24, 1.04 
2015,05,06, Titan, 19, HellRaisers, 16, train, 24, 25, 1.00 
2015,05,06, Titan, 14, HellRaisers, 16, cache, 19, 19, 1.10 
2015,05,05, Titan, 16, Publiclir.se, 04, inferno, 22, 10, 1.62 
2015,05,05, Publiclir.se, 10, Titan, 16, cobblestone, 25, 13, 1.50 
2015,05,04, dignitas, 16, Titan, 08, cache, 18, 19, 0.97 
2015,04,19, fnatic, 16, Titan, 09, cache, 14, 19, 0.73 
2015,04,19, fnatic, 16, Titan, 10, mirage, 25, 19, 1.13 
2015,04,19, Titan, 04, Virtus.pro, 16, inferno, 10, 17, 0.63 
2015,04,19, Virtus.pro, 16, Titan, 13, cache, 21, 21, 1.01 
2015,04,19, Virtus.pro, 11, Titan, 16, nuke, 14, 19, 0.70 
2015,04,18, fnatic, 04, Titan, 16, cache, 13, 11, 1.04 
