2015,12,12, Luminosity, 16, NatusVincere, 12, train, 17, 21, 0.81 
2015,12,12, Luminosity, 11, NatusVincere, 16, cobblestone, 18, 15, 1.09 
2015,12,11, NatusVincere, 13, 00?, 16, inferno, 23, 24, 0.96 
2015,12,11, 00?, 16, NatusVincere, 12, train, 18, 18, 1.01 
2015,12,11, Luminosity, 15, NatusVincere, 19, inferno, 16, 19, 0.82 
2015,12,11, NatusVincere, 16, Luminosity, 05, dust2, 19, 09, 1.44 
2015,12,06, NatusVincere, 06, E-frag.net, 16, cobblestone, 10, 18, 0.63 
2015,12,06, E-frag.net, 13, NatusVincere, 16, overpass, 19, 18, 0.92 
2015,12,06, E-frag.net, 16, NatusVincere, 11, dust2, 14, 22, 0.69 
2015,12,03, NatusVincere, 16, EnVyUs, 08, mirage, 12, 15, 0.77 
2015,12,03, NatusVincere, 16, EnVyUs, 12, train, 18, 19, 0.90 
2015,12,03, NatusVincere, 14, EnVyUs, 16, cobblestone, 28, 22, 1.25 
2015,12,02, NatusVincere, 16, Titan, 09, dust2, 16, 20, 0.86 
2015,12,02, Titan, 14, NatusVincere, 16, train, 20, 20, 1.02 
2015,12,01, NatusVincere, 10, dignitas, 16, mirage, 17, 23, 0.71 
2015,12,01, dignitas, 16, NatusVincere, 09, train, 14, 22, 0.61 
2015,12,01, NatusVincere, 21, dignitas, 19, cobblestone, 31, 26, 1.14 
2015,11,23, NatusVincere, 16, TSM, 08, cobblestone, 17, 12, 1.27 
2015,11,23, TSM, 10, NatusVincere, 16, dust2, 24, 15, 1.47 
2015,11,22, NatusVincere, 16, Liquid, 14, dust2, 19, 23, 0.91 
2015,11,22, NatusVincere, 16, Liquid, 07, cobblestone, 13, 11, 1.00 
2015,11,22, Luminosity, 17, NatusVincere, 19, overpass, 27, 27, 0.98 
2015,11,22, Luminosity, 13, NatusVincere, 16, mirage, 25, 22, 1.12 
2015,11,17, Virtus.pro, 05, NatusVincere, 16, dust2, 21, 12, 1.46 
2015,11,17, NatusVincere, 16, HellRaisers, 08, cobblestone, 20, 16, 1.19 
2015,11,16, NatusVincere, 03, fnatic, 16, dust2, 08, 18, 0.43 
2015,11,16, fnatic, 16, NatusVincere, 03, inferno, 14, 16, 0.96 
2015,11,12, PENTA, 16, NatusVincere, 12, cobblestone, 12, 23, 0.57 
2015,11,12, fnatic, 16, NatusVincere, 14, dust2, 15, 22, 0.73 
2015,11,11, NatusVincere, 16, PENTA, 08, mirage, 20, 10, 1.34 
2015,11,11, PENTA, 08, NatusVincere, 16, overpass, 08, 13, 0.70 
2015,11,07, Titan, 16, NatusVincere, 12, cobblestone, 17, 17, 0.93 
2015,11,07, NatusVincere, 16, Titan, 07, dust2, 17, 10, 1.20 
2015,11,07, Titan, 16, NatusVincere, 13, train, 23, 24, 1.06 
2015,11,06, NatusVincere, 07, mousesports, 16, overpass, 09, 18, 0.58 
2015,11,06, NatusVincere, 10, mousesports, 16, mirage, 14, 19, 0.80 
2015,11,01, NatusVincere, 05, EnVyUs, 16, cobblestone, 09, 18, 0.50 
2015,11,01, EnVyUs, 16, NatusVincere, 14, train, 32, 19, 1.48 
2015,11,01, NatusVincere, 16, NiP, 06, dust2, 17, 11, 1.13 
2015,11,01, NiP, 03, NatusVincere, 16, train, 09, 11, 0.83 
2015,10,31, Luminosity, 13, NatusVincere, 16, overpass, 17, 21, 0.77 
2015,10,31, NatusVincere, 16, Luminosity, 14, dust2, 19, 23, 0.82 
2015,10,30, NatusVincere, 16, CLG, 08, inferno, 29, 11, 1.91 
2015,10,30, CLG, 16, NatusVincere, 10, cobblestone, 17, 21, 0.79 
2015,10,30, NatusVincere, 16, CLG, 09, train, 23, 13, 1.58 
2015,10,29, NatusVincere, 09, EnVyUs, 16, mirage, 17, 20, 1.13 
2015,10,28, NatusVincere, 16, CLG, 12, cobblestone, 16, 15, 1.04 
2015,10,25, mousesports, 19, NatusVincere, 17, mirage, 27, 24, 1.09 
2015,10,25, HellRaisers, 08, NatusVincere, 16, train, 18, 13, 1.24 
