2015,09,26, fnatic, 16, NiP, 01, cobblestone, 07, 16, 0.43 
2015,09,26, fnatic, 16, NiP, 19, dust2, 20, 21, 0.97 
2015,09,22, TSM, 16, NiP, 05, train, 10, 18, 0.62 
2015,09,22, NiP, 14, fnatic, 16, dust2, 13, 21, 0.72 
2015,09,17, NiP, 16, fnatic, 13, cache, 26, 18, 1.20 
2015,09,16, NiP, 16, 0SK, 09, inferno, 24, 12, 1.53 
2015,09,15, EnVyUs, 08, NiP, 16, train, 12, 21, 0.59 
2015,09,11, NiP, 10, TSM, 16, inferno, 22, 19, 1.13 
2015,09,11, TSM, 16, NiP, 08, mirage, 16, 19, 0.87 
2015,09,11, TSM, 07, NiP, 16, dust2, 19, 12, 1.28 
2015,09,11, EnVyUs, 07, NiP, 16, inferno, 20, 13, 1.31 
2015,09,11, EnVyUs, 13, NiP, 16, dust2, 21, 17, 1.04 
2015,09,10, NiP, 19, Cloud9, 16, dust2, 15, 24, 0.66 
2015,09,10, NiP, 07, Virtus.pro, 16, mirage, 09, 19, 0.49 
2015,09,03, Kinguin, 16, FlipSid3, 05, train, 09, 10, 0.79 
2015,09,03, FlipSid3, 06, Kinguin, 14, mirage, 16, 11, 1.15 
2015,08,22, Virtus.pro, 16, NiP, 05, inferno, 11, 18, 0.61 
2015,08,22, NiP, 14, Virtus.pro, 16, train, 19, 19, 0.94 
2015,08,21, NiP, 16, Renegades, 05, inferno, 13, 11, 1.13 
2015,08,20, NiP, 03, TSM, 16, cache, 11, 15, 0.72 
2015,08,20, NiP, 16, CLG, 13, dust2, 21, 19, 1.09 
2015,07,17, NiP, 14, fnatic, 16, mirage, 13, 22, 0.64 
2015,07,17, fnatic, 16, NiP, 14, train, 16, 24, 0.69 
2015,07,17, NiP, 16, Liquid, 10, cache, 19, 15, 1.22 
2015,07,17, NiP, 16, Liquid, 06, dust2, 12, 13, 0.97 
2015,07,16, TSM, 16, NiP, 13, mirage, 25, 21, 1.21 
2015,07,11, NiP, 12, FlipSid3, 16, overpass, 17, 20, 0.91 
2015,07,11, FlipSid3, 16, NiP, 10, mirage, 12, 22, 0.62 
2015,07,11, NiP, 16, FlipSid3, 01, inferno, 16, 08, 1.39 
2015,07,10, NiP, 16, LDLCWhite, 08, cache, 17, 14, 1.17 
2015,07,10, NiP, 16, Liquid, 02, mirage, 23, 06, 2.09 
2015,07,10, QeeYou, 04, NiP, 16, mirage, 14, 12, 1.09 
2015,07,02, FlipSid3, 02, NiP, 16, cobblestone, 22, 07, 1.94 
2015,07,02, NiP, 16, NatusVincere, 08, train, 21, 12, 1.36 
2015,07,02, NatusVincere, 07, NiP, 16, mirage, 19, 12, 1.31 
2015,06,30, TSM, 16, NiP, 05, cache, 12, 18, 0.68 
2015,06,30, fnatic, 16, NiP, 07, cache, 10, 22, 0.45 
2015,06,28, NiP, 09, EnVyUs, 16, cache, 16, 18, 0.86 
2015,06,28, EnVyUs, 16, NiP, 04, inferno, 07, 18, 0.40 
2015,06,28, EnVyUs, 16, NiP, 10, dust2, 08, 19, 0.48 
2015,06,28, NiP, 16, mousesports, 02, dust2, 14, 09, 1.12 
2015,06,28, mousesports, 13, NiP, 16, train, 20, 25, 0.79 
2015,06,27, dignitas, 09, NiP, 16, inferno, 15, 17, 0.82 
2015,06,27, NiP, 09, dignitas, 16, mirage, 18, 17, 1.03 
2015,06,27, NiP, 16, dignitas, 04, cache, 20, 11, 1.49 
2015,06,26, 0SK, 12, NiP, 16, inferno, 22, 20, 1.20 
2015,06,26, 0SK, 19, NiP, 22, cobblestone, 23, 30, 0.74 
2015,06,24, NiP, 16, mousesports, 09, dust2, 21, 17, 1.24 
2015,06,24, mousesports, 09, NiP, 16, inferno, 23, 17, 1.31 
2015,06,23, NiP, 16, Titan, 08, mirage, 21, 17, 1.26 
2015,06,23, NiP, 16, LGB, 10, dust2, 19, 18, 1.02 
2015,06,23, LGB, 07, NiP, 16, inferno, 27, 11, 1.76 
2015,06,22, Titan, 08, NiP, 16, cache, 22, 17, 1.39 
2015,06,22, NiP, 16, x6tence, 04, mirage, 17, 07, 1.56 
2015,06,22, x6tence, 08, NiP, 16, train, 21, 15, 1.30 
2015,06,22, NiP, 21, EnVyUs, 18, cache, 28, 28, 0.93 
2015,06,18, NiP, 16, mousesports, 10, overpass, 22, 14, 1.44 
2015,06,18, fnatic, 16, NiP, 04, inferno, 10, 18, 0.53 
2015,06,17, NiP, 21, Virtus.pro, 17, train, 27, 30, 1.04 
2015,06,15, fnatic, 16, NiP, 14, train, 23, 21, 1.06 
2015,06,15, fnatic, 16, NiP, 06, dust2, 14, 17, 0.85 
2015,06,14, dignitas, 11, NiP, 16, cache, 21, 16, 1.22 
2015,06,14, NatusVincere, 16, NiP, 13, cobblestone, 19, 22, 0.83 
2015,06,14, NiP, 16, dignitas, 09, mirage, 20, 15, 1.23 
2015,06,13, Acer, 05, NiP, 16, dust2, 13, 11, 1.02 
2015,06,13, NiP, 16, Acer, 05, train, 22, 11, 1.51 
2015,06,11, EnVyUs, 03, NiP, 16, cobblestone, 20, 10, 1.48 
2015,06,10, EnVyUs, 16, NiP, 12, train, 14, 23, 0.59 
2015,06,10, TSM, 16, NiP, 07, mirage, 10, 19, 0.61 
2015,06,09, NiP, 04, TSM, 16, cache, 13, 18, 0.83 
2015,06,09, FlipSid3, 16, NiP, 01, train, 03, 17, 0.15 
2015,06,09, fnatic, 16, NiP, 13, train, 26, 22, 1.17 
2015,06,08, dignitas, 10, NiP, 16, cobblestone, 13, 14, 0.86 
2015,06,01, Titan, 14, NiP, 16, dust2, 25, 18, 1.29 
2015,06,01, fnatic, 11, NiP, 16, dust2, 26, 17, 1.39 
2015,05,31, INFINITY, 07, NiP, 16, cache, 20, 13, 1.35 
2015,05,31, INFINITY, 06, NiP, 16, train, 16, 08, 1.31 
2015,05,29, EnVyUs, 16, Acer, 09, dust2, 23, 20, 1.09 
2015,05,29, Acer, 16, EnVyUs, 06, mirage, 24, 13, 1.50 
2015,05,29, EnVyUs, 19, Acer, 17, cache, 31, 29, 1.06 
2015,05,27, Publiclir.se, 06, NiP, 16, cache, 26, 16, 1.61 
2015,05,27, Publiclir.se, 16, NiP, 14, mirage, 23, 23, 0.93 
2015,05,27, TSM, 16, NiP, 03, overpass, 08, 17, 0.47 
2015,05,26, PENTA, 08, NiP, 16, train, 15, 14, 0.98 
2015,05,26, mousesports, 10, NiP, 16, mirage, 20, 17, 1.13 
2015,05,25, Titan, 10, NiP, 16, inferno, 23, 12, 1.47 
2015,05,25, Titan, 07, NiP, 16, cache, 18, 13, 1.19 
2015,05,25, PENTA, 07, NiP, 16, overpass, 15, 14, 0.97 
2015,05,24, FlipSid3, 06, NiP, 16, inferno, 11, 15, 0.74 
2015,05,24, FlipSid3, 11, NiP, 16, train, 20, 19, 1.03 
2015,05,24, NatusVincere, 14, NiP, 16, mirage, 19, 22, 0.90 
2015,05,23, HellRaisers, 19, NiP, 16, dust2, 21, 23, 0.93 
2015,05,23, EnVyUs, 05, NiP, 16, cobblestone, 22, 12, 1.50 
2015,05,21, NiP, 13, HellRaisers, 16, cache, 17, 20, 0.94 
2015,05,20, Virtus.pro, 22, NiP, 25, overpass, 34, 32, 0.99 
2015,05,20, Virtus.pro, 10, NiP, 16, cache, 12, 15, 0.82 
2015,05,19, 0G2, 08, NiP, 16, train, 20, 14, 1.33 
2015,05,19, 0G2, 09, NiP, 16, mirage, 21, 19, 1.18 
2015,05,16, NiP, 09, NatusVincere, 16, inferno, 12, 20, 0.66 
2015,05,16, NatusVincere, 16, NiP, 12, dust2, 18, 19, 1.03 
2015,05,16, VoxEminor, 05, NiP, 16, dust2, 19, 07, 1.55 
2015,05,16, VoxEminor, 16, NiP, 13, train, 21, 18, 1.04 
2015,05,15, NiP, 22, fnatic, 20, overpass, 30, 25, 1.08 
2015,05,15, NiP, 14, fnatic, 16, dust2, 23, 17, 1.26 
2015,05,15, NiP, 16, Liquid, 01, inferno, 22, 09, 1.94 
2015,05,15, Liquid, 02, NiP, 16, dust2, 13, 12, 1.07 
2015,05,12, PENTA, 07, NiP, 16, overpass, 13, 13, 0.98 
2015,05,12, NiP, 16, PENTA, 12, mirage, 21, 17, 1.05 
