2015,12,08, Rebels, 16, FlipSid3, 09, mirage, 16, 21, 0.80 
2015,12,08, FlipSid3, 16, Rebels, 04, train, 11, 11, 0.83 
2015,12,06, FlipSid3, 14, CSGO.one, 16, mirage, 20, 20, 1.00 
2015,12,06, CSGO.one, 13, FlipSid3, 16, train, 16, 19, 0.82 
2015,12,06, CSGO.one, 19, FlipSid3, 16, cobblestone, 23, 24, 0.89 
2015,12,02, HS.GG, 06, FlipSid3, 16, inferno, 13, 13, 0.85 
2015,12,02, HS.GG, 13, FlipSid3, 16, cobblestone, 16, 20, 0.79 
2015,12,02, FlipSid3, 07, HS.GG, 16, mirage, 08, 20, 0.40 
2015,11,18, Virtus.pro, 16, FlipSid3, 06, train, 15, 17, 0.91 
2015,11,18, Virtus.pro, 16, FlipSid3, 14, mirage, 17, 24, 0.73 
2015,11,16, FlipSid3, 22, EnVyUs, 18, cobblestone, 29, 31, 0.96 
2015,11,16, EnVyUs, 13, FlipSid3, 16, mirage, 15, 20, 0.77 
2015,11,16, FlipSid3, 10, EnVyUs, 16, inferno, 16, 18, 0.85 
2015,10,14, FlipSid3, 09, CSGL, 03, train, 07, 08, 0.81 
2013,03,24, Faith, 16, RussianRoulette, 11, mirage_ce, 14, 18, 0.75 
2013,03,18, Faith, 11, Imaginary, 16, dust2_se, 23, 20, 1.15 
2013,03,17, ALTERNATEaTTaX, 16, Faith, 07, dust2_se, 10, 21, 0.59 
2013,03,13, Faith, 02, fnatic, 16, mirage_ce, 13, 17, 0.81 
2013,03,12, Faith, 13, dAT, 16, mirage_ce, 14, 21, 0.71 
2013,03,06, 3DMAX, 13, Faith, 16, nuke_se, 11, 21, 0.68 
2013,03,04, Faith, 03, NiP, 16, nuke_se, 07, 17, 0.45 
2013,03,03, NatusVincere, 16, Faith, 06, mirage_ce, 12, 19, 0.67 
2013,02,28, Virtus.pro, 16, Faith, 01, mirage_ce, 03, 17, 0.15 
