2015,11,21, Cloud9, 05, TSM, 16, dust2, 14, 19, 0.77 
2015,11,21, Cloud9, 16, TSM, 14, cache, 17, 20, 0.86 
2015,11,21, TSM, 16, Cloud9, 11, overpass, 19, 21, 0.96 
2015,11,20, Cloud9, 16, Method, 10, cobblestone, 24, 18, 1.36 
2015,11,20, Cloud9, 04, Luminosity, 16, inferno, 08, 20, 0.36 
2015,11,19, Renegades, 12, Cloud9, 16, cache, 13, 16, 0.80 
2015,11,19, Cloud9, 16, Liquid, 07, inferno, 21, 13, 1.42 
2015,11,19, Liquid, 11, Cloud9, 16, cobblestone, 27, 13, 1.54 
2015,11,19, Cloud9, 12, Liquid, 16, overpass, 21, 20, 1.05 
2015,11,18, Cloud9, 16, Renegades, 06, cobblestone, 23, 14, 1.41 
2015,11,18, Renegades, 19, Cloud9, 16, cache, 21, 22, 0.90 
2015,11,18, Renegades, 11, Cloud9, 16, inferno, 25, 17, 1.36 
2015,11,18, Cloud9, 16, GamesAcademy, 14, cache, 12, 19, 0.77 
2015,11,18, GamesAcademy, 15, Cloud9, 19, cobblestone, 23, 25, 0.90 
2015,11,18, GamesAcademy, 16, Cloud9, 14, dust2, 16, 24, 0.69 
2015,11,17, NexusStorm, 02, Cloud9, 16, cache, 11, 10, 0.97 
2015,11,17, Cloud9, 16, Method, 02, dust2, 18, 08, 1.51 
2015,11,17, compLexity, 01, Cloud9, 16, cobblestone, 11, 10, 0.98 
2015,11,15, Liquid, 15, Cloud9, 19, cobblestone, 24, 25, 1.01 
2015,11,15, Liquid, 16, Cloud9, 04, inferno, 07, 19, 0.39 
2015,11,15, Cloud9, 16, Liquid, 05, cache, 15, 12, 1.03 
2015,11,15, Luminosity, 07, Cloud9, 16, dust2, 20, 12, 1.29 
2015,11,15, Cloud9, 16, Luminosity, 09, cobblestone, 10, 15, 0.78 
2015,11,15, Cloud9, 16, compLexity, 05, inferno, 31, 09, 2.25 
2015,11,15, Cloud9, 14, Liquid, 16, cache, 17, 24, 0.73 
2015,11,14, Conquest, 04, Cloud9, 16, inferno, 22, 10, 1.68 
2015,11,13, Luminosity, 16, Cloud9, 13, overpass, 23, 23, 1.09 
2015,11,12, Liquid, 16, Cloud9, 12, cache, 18, 22, 0.84 
2015,11,12, Splyce, 08, Cloud9, 16, cache, 19, 13, 1.28 
2015,11,12, compLexity, 11, Cloud9, 16, overpass, 21, 18, 1.16 
2015,11,11, Cloud9, 16, Conquest, 06, dust2, 23, 11, 1.44 
2015,11,11, Cloud9, 16, compLexity, 12, cache, 18, 17, 1.00 
2015,11,06, CLG, 16, Cloud9, 12, cache, 15, 20, 0.78 
2015,11,06, Enemy, 16, Cloud9, 12, cache, 17, 20, 0.91 
2015,11,05, Winterfox, 12, Cloud9, 16, overpass, 22, 19, 1.02 
2015,11,04, 3sUP, 16, Cloud9, 12, train, 22, 23, 0.99 
2015,11,04, Cloud9, 11, compLexity, 16, inferno, 17, 20, 0.87 
2015,10,30, Cloud9, 12, fnatic, 16, overpass, 21, 24, 0.95 
2015,10,30, Cloud9, 06, fnatic, 16, dust2, 14, 16, 0.86 
2015,10,29, Vexed, 13, Cloud9, 16, cobblestone, 15, 21, 0.72 
2015,10,28, Luminosity, 16, Cloud9, 11, dust2, 16, 17, 0.88 
2015,10,25, Cloud9, 11, CLG, 16, mirage, 15, 21, 0.73 
2015,10,25, Enemy, 16, Cloud9, 10, overpass, 25, 17, 1.40 
2015,10,22, Conquest, 16, Cloud9, 06, overpass, 10, 17, 0.67 
2015,10,22, Cloud9, 16, 3sUP, 06, cobblestone, 17, 12, 1.20 
2015,10,22, Liquid, 16, Cloud9, 12, cobblestone, 21, 24, 0.87 
2015,10,21, Cloud9, 06, Liquid, 16, inferno, 05, 17, 0.38 
2015,10,21, Splyce, 08, Cloud9, 16, cobblestone, 14, 17, 0.75 
2015,10,20, Cloud9, 16, Winterfox, 11, cache, 25, 15, 1.48 
2015,10,16, Cloud9, 16, Winterfox, 03, overpass, 10, 09, 0.93 
2015,10,16, compLexity, 04, Cloud9, 16, train, 23, 13, 1.57 
2015,10,15, Cloud9, 16, Luminosity, 07, overpass, 15, 17, 0.91 
2015,10,15, Liquid, 17, Cloud9, 19, dust2, 16, 27, 0.70 
2015,10,14, ex-eLevate, 06, Cloud9, 16, dust2, 12, 12, 0.93 
2015,10,02, Coast, 13, Cloud9, 16, mirage, 22, 23, 1.12 
2015,10,02, Cloud9, 16, Luminosity, 06, train, 24, 08, 1.85 
2015,10,01, Cloud9, 16, Splyce, 19, mirage, 22, 25, 0.96 
2015,10,01, Winterfox, 01, Cloud9, 16, dust2, 11, 11, 0.93 
2015,09,22, dignitas, 06, Cloud9, 16, cache, 23, 11, 1.49 
2015,09,22, dignitas, 12, Cloud9, 16, inferno, 21, 20, 1.09 
2015,09,22, Cloud9, 16, ROCCAT, 08, cache, 19, 18, 1.16 
2015,09,22, ROCCAT, 14, Cloud9, 16, dust2, 28, 21, 1.18 
2015,09,18, Method, 07, Cloud9, 16, train, 15, 16, 0.89 
2015,09,18, Cloud9, 16, Coast, 08, inferno, 21, 16, 1.22 
2015,09,10, NiP, 19, Cloud9, 16, dust2, 17, 25, 0.74 
2015,09,10, Cloud9, 12, EnVyUs, 16, cobblestone, 29, 20, 1.45 
